#Table30: Reduced Zn transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1052.44,V,-0.03,-0.03,285885,380902
1053.28,V,-0.17,-0.18,285523,380464
1054.56,V,-1.86,-1.86,203548,298375
1054.60,V,-1.77,-1.82,201973,296796
1055.88,V,-0.43,-0.52,221631,316339
1056.33,V,-0.62,-0.74,231997,326664
1056.53,V,-2.35,-2.41,200644,295293
1057.30,V,-2.19,-2.17,227195,321776
1057.31,V,-0.84,-0.84,285885,380464
1057.91,V,-2.23,-2.27,222940,317466
1057.93,V,-1.33,-1.38,200644,295168
1058.19,V,-1.18,-1.21,198962,293463
1058.53,V,-1.49,-1.50,235599,330069
1058.66,IV,-2.13,-2.06,138479,232938
1060.15,V,-0.89,-0.90,286575,380902
1062.65,V,-1.43,-1.45,202929,297033
1063.21,V,-0.35,-0.33,237032,331087
1063.98,V,-0.39,-0.43,222042,316029
1064.70,V,-2.45,-2.37,226334,320257
1065.34,V,-1.66,-1.78,202929,296796
1065.78,V,-1.86,-1.89,202929,296757
1066.06,V,-1.05,-1.06,235730,329533
1066.55,V,-1.02,-1.05,198962,292722
1067.14,V,-1.97,-1.99,226334,320043
1068.28,V,-0.44,-0.29,221631,315239
1069.67,V,-0.26,-0.23,235599,329085
1070.20,V,-1.32,-1.28,228335,321776
1071.50,V,-0.64,-0.72,221631,314958
1071.58,V,-1.76,-1.79,201973,295293
1072.46,IV,-2.45,-2.43,130366,223609
1072.86,V,-1.33,-1.38,203548,296757
1072.89,V,-2.35,-2.38,221631,314838
1072.99,V,0.03,0.03,222042,315239
1073.01,V,-0.83,-0.89,201973,295168
1073.17,V,-1.13,-1.22,235903,329085
1074.11,V,-1.17,-1.18,236969,330069
1074.24,V,-0.72,-0.82,222940,316029
1074.55,V,-2.38,-2.46,227195,320257
1075.17,V,0.52,0.51,240446,333455
1076.24,V,-1.01,-0.94,222042,314958
1076.88,V,-0.33,-0.21,222940,315801
1077.04,V,-1.58,-1.53,227195,320043
1077.36,V,-2.15,-2.13,200644,293463
1078.34,V,-2.16,-2.14,234846,327581
1078.81,V,-0.85,-0.91,231831,324526
1079.45,V,-1.41,-1.39,235730,328369
1080.00,V,-2.05,-2.05,226334,318927
1080.31,V,-1.75,-1.67,221631,314197
1080.33,V,-0.81,-0.73,236969,329533
1080.74,V,-0.70,-0.82,232946,325476
1082.67,V,-1.28,-1.34,202929,295293
1082.98,V,-2.22,-2.13,239843,332181
1084.75,V,-1.11,-1.11,222042,314229
1085.29,V,0.56,0.55,234846,326987
1086.03,V,-0.39,-0.47,200644,292722
1086.33,V,-0.75,-0.68,237032,329085
1086.64,V,-0.80,-0.75,239843,331869
1088.71,V,0.50,0.49,235730,327581
1090.83,V,0.32,0.31,260880,352553
1091.18,V,-1.95,-1.83,226334,317978
