#Table30: Reduced Zn transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1311.77,V,-1.69,-1.72,212471,288704
1311.94,IV,-0.52,-0.53,149191,225414
1316.30,V,-1.34,-1.38,210973,286943
1316.42,V,-1.68,-1.70,210973,286936
1318.00,IV,0.14,0.14,135951,211824
1318.16,IV,-1.88,-1.79,157075,232938
1318.20,V,-0.76,-0.70,222940,298801
1319.14,IV,-0.52,-0.49,149191,224998
1320.70,IV,0.04,0.03,128730,204447
1321.22,IV,0.22,0.22,138479,214167
1322.32,IV,0.04,0.02,130366,205991
1322.43,IV,0.20,0.19,135951,211570
1323.36,V,-1.76,-1.73,236969,312534
1323.36,V,-1.87,-1.88,235730,311295
1325.64,IV,-1.72,-1.78,151250,226685
1325.74,IV,-2.08,-1.98,148180,223609
1325.96,V,-1.72,-1.75,212471,287888
1326.25,V,-1.05,-1.09,208715,284116
1326.42,V,-0.95,-0.96,241829,317220
1326.66,IV,-0.22,-0.23,199369,274746
1326.77,IV,-0.19,-0.21,131805,207175
1328.15,IV,-2.15,-2.10,151392,226685
1329.11,IV,-0.05,-0.08,135951,211190
1329.47,V,-1.40,-1.44,208715,283933
1329.96,IV,0.24,0.23,160919,236109
1330.30,IV,0.01,-0.01,157075,232246
1331.28,V,-1.92,-2.00,239843,314958
1331.37,IV,-0.66,-0.64,151574,226685
1333.18,IV,0.04,0.03,157930,232938
1333.33,IV,-0.02,-0.03,138479,213480
1333.49,V,-2.24,-2.21,222042,297033
1334.76,V,-2.36,-2.44,235599,310519
1336.89,IV,-0.74,-0.74,151250,226050
1337.67,V,-2.24,-2.31,241829,316586
1339.94,V,-1.85,-1.89,210973,285603
1340.16,IV,0.17,0.17,157075,231693
1342.10,V,-1.26,-1.40,241829,316339
1342.72,IV,0.06,0.05,151574,226050
1342.92,V,-2.36,-2.40,212471,286936
1343.75,IV,0.16,0.15,149191,223609
1344.12,IV,0.07,0.06,132777,207175
1344.24,V,-0.31,-0.32,240446,314838
1344.33,V,-2.04,-1.92,239843,314229
1345.79,V,-2.08,-2.06,255763,330069
1347.95,IV,0.11,0.10,131805,205991
1348.35,IV,-0.71,-0.73,151250,225414
1349.88,IV,0.20,0.20,130366,204447
1350.96,IV,-1.88,-1.90,151392,225414
1351.15,V,-0.96,-0.97,241829,315840
1351.87,V,-2.08,-2.22,241829,315801
1352.31,IV,-1.00,-1.00,135951,209899
1352.88,IV,0.32,0.31,160886,234802
1353.49,IV,-2.43,-2.43,160919,234802
1354.40,V,-1.67,-1.75,256235,330069
1355.97,IV,-0.80,-0.80,151250,224998
1356.17,IV,0.57,0.56,160886,234623
1356.20,IV,-0.23,-0.24,132777,206513
1357.80,IV,0.03,0.01,131805,205453
1358.60,IV,-1.00,-1.03,151392,224998
1359.48,IV,0.15,0.14,148180,221737
1361.32,IV,-0.39,-0.41,151574,225033
1361.97,IV,-0.32,-0.35,151574,224998
1363.43,IV,-0.08,-0.11,138479,211824
1363.91,IV,0.22,0.21,130366,203685
1365.25,IV,-0.15,-0.17,148180,221426
1367.54,V,-2.08,-2.08,239843,312967
1368.17,IV,-1.17,-1.25,138479,211570
1369.51,IV,0.39,0.38,135951,208970
1370.42,IV,-0.84,-0.87,135951,208921
1371.19,IV,-0.68,-0.69,149191,222120
1375.33,IV,0.17,0.17,138479,211190
1375.98,IV,-0.97,-0.98,132777,205453
1377.30,V,-1.95,-1.98,255763,328369
1377.62,IV,0.36,0.35,128730,201319
1381.98,IV,-1.93,-1.90,151250,223609
1384.36,IV,-1.14,-1.14,149191,221426
1385.46,IV,-2.36,-2.37,157075,229253
1387.06,IV,-0.73,-0.75,160886,232981
1387.19,IV,-0.54,-0.59,157075,229163
1387.20,V,-1.44,-1.42,240446,312534
1387.69,IV,0.46,0.44,160919,232981
1388.21,IV,-0.55,-0.57,151574,223609
1391.21,IV,-1.06,-1.07,131805,203685
1392.14,V,-2.20,-2.26,221631,293463
1392.48,V,-2.07,-2.22,241829,313644
1393.03,IV,-0.64,-0.68,135951,207737
1394.55,IV,-0.81,-0.82,138479,210187
1400.18,IV,-1.42,-1.44,138479,209899
1401.54,V,-1.31,-1.30,240446,311796
1401.62,V,-1.83,-1.86,256235,327581
1402.07,IV,-1.88,-1.90,157930,229253
1402.50,IV,-1.17,-1.22,157930,229231
1404.02,IV,-1.92,-1.94,135951,207175
1409.39,IV,-1.53,-1.55,130366,201319
1410.18,V,-1.56,-1.64,240446,311359
1410.29,IV,-2.38,-2.39,132777,203685
1411.02,IV,-0.48,-0.49,151250,222120
1411.46,V,-2.29,-2.29,240446,311295
1412.95,IV,-1.72,-1.72,160919,231693
1413.88,IV,-1.18,-1.19,151392,222120
1418.68,IV,-0.62,-0.63,151250,221737
1419.61,IV,-1.53,-1.58,138479,208921
1424.97,IV,-1.05,-1.07,151250,221426
1425.25,IV,-0.81,-0.82,151574,221737
1427.76,IV,-2.28,-2.29,135951,205991
1427.88,IV,-0.60,-0.61,151392,221426
1431.60,IV,-1.18,-1.19,151574,221426
1431.89,V,-2.04,-2.03,227195,297033
1436.57,IV,-0.77,-0.78,157075,226685
1437.07,V,-2.07,-1.95,255482,325068
1442.91,V,-1.42,-1.48,255763,325068
1447.19,V,-2.48,-2.45,221631,290731
1448.35,V,-2.08,-2.16,255482,324526
1449.45,IV,-0.85,-0.88,160886,229878
1449.79,IV,-2.12,-2.24,157075,226050
1452.76,V,-2.28,-2.30,226334,295168
1453.65,V,-2.02,-2.04,221631,290424
1454.39,V,-2.07,-2.14,230614,299372
1454.43,IV,-1.34,-1.34,157930,226685
1455.69,IV,-1.68,-1.70,138479,207175
1455.85,V,-1.60,-1.56,222042,290731
1456.41,V,-1.50,-1.53,222042,290704
1456.60,V,-1.25,-1.28,260880,329533
1459.94,IV,-0.44,-0.47,135951,204447
1461.53,V,-1.23,-1.27,228335,296757
1462.38,V,-1.79,-1.81,222042,290424
1463.29,IV,-1.50,-1.52,157075,225414
1464.28,V,-2.03,-2.09,221631,289925
1464.33,V,-1.15,-1.21,256235,324526
1465.20,V,-1.49,-1.51,231122,299372
1465.34,IV,-1.60,-1.65,160919,229163
1466.16,V,-1.99,-2.08,260880,329085
1466.37,V,-1.93,-1.97,221631,289827
1468.47,V,-1.16,-1.20,227195,295293
1468.81,V,-1.39,-1.42,222940,291022
1472.26,IV,-1.52,-1.60,157075,224998
1473.14,V,-1.14,-1.21,222042,289925
1475.13,V,-1.88,-1.85,222940,290731
1475.71,V,-1.09,-1.13,222940,290704
1475.79,V,-1.33,-1.24,230614,298375
1476.38,IV,-1.61,-1.63,135951,203685
1478.17,V,-1.36,-1.37,256235,323886
1481.23,IV,-1.05,-1.08,138479,205991
1481.82,IV,-1.11,-1.12,157930,225414
1489.67,V,-0.99,-1.02,226334,293463
1490.92,V,-1.28,-1.32,221631,288704
1491.02,IV,-1.89,-1.97,157930,224998
1492.88,V,-1.44,-1.50,222940,289925
1493.13,IV,-2.11,-2.14,138479,205453
1493.47,V,-2.28,-2.29,228335,295293
1500.11,V,-1.06,-1.09,222042,288704
1508.43,V,-0.87,-0.90,255482,321776
1509.03,V,-2.35,-2.33,227195,293463
1514.86,V,-1.69,-1.72,255763,321776
1515.44,IV,-1.89,-1.97,148180,214167
1515.67,V,-2.48,-2.49,286575,352553
1520.12,V,-1.89,-1.95,260880,326664
1525.77,V,-2.22,-2.30,256235,321776
1529.81,IV,-1.62,-1.64,135951,201319
1531.12,V,-0.93,-0.95,221631,286943
1531.39,IV,-1.99,-2.05,148180,213480
1533.62,IV,-2.07,-2.09,138479,203685
1535.36,IV,-1.69,-1.71,160919,226050
1535.91,V,-1.26,-1.25,255763,320871
1537.60,V,-1.19,-1.18,231997,297033
1539.75,V,-1.54,-1.61,255763,320709
1540.98,V,-1.91,-1.97,222042,286936
1543.24,V,-2.13,-2.02,231997,296796
1546.49,IV,-2.22,-2.24,157075,221737
1551.02,V,-1.19,-1.12,256235,320709
1553.97,IV,-1.60,-1.64,157075,221426
1555.48,IV,-1.05,-1.08,149191,213480
1555.71,V,-0.79,-0.82,255763,320043
1557.86,IV,-1.88,-1.92,157930,222120
1558.93,IV,-0.67,-0.70,160886,225033
1562.60,V,-2.23,-2.30,222940,286936
1563.20,V,-1.78,-1.83,221631,285603
1567.22,V,-1.68,-1.70,256235,320043
1573.30,V,-1.56,-1.62,222042,285603
1575.58,V,-1.74,-1.78,235903,299372
1575.74,V,-2.46,-2.45,231831,295293
1577.54,IV,-1.23,-1.27,148180,211570
1579.87,V,-2.28,-2.20,231997,295293
1592.96,V,-2.19,-2.20,235599,298375
1595.14,IV,-1.11,-1.13,160919,223609
1597.62,IV,-2.15,-2.22,151574,214167
1604.11,V,-2.22,-2.26,237032,299372
1605.09,V,-1.09,-1.14,221631,283933
1606.93,IV,-1.84,-1.87,151250,213480
1615.37,IV,-2.32,-2.36,151574,213480
1619.62,V,-0.72,-0.74,256235,317978
1619.74,V,-1.51,-1.53,255482,317220
1620.24,IV,-1.88,-1.90,148180,209899
1627.15,V,-2.00,-2.01,255763,317220
1627.44,V,-2.01,-2.08,291107,352553
1627.75,V,-1.52,-1.58,235599,297033
1630.18,V,-1.71,-1.72,237032,298375
1634.06,V,-2.39,-2.33,235599,296796
1635.02,V,-1.80,-1.83,255482,316643
1636.54,V,-2.26,-2.28,255482,316586
1637.64,V,-1.61,-1.60,255763,316827
1639.44,IV,-1.82,-1.85,149191,210187
1650.40,V,-2.38,-2.40,256235,316827
1659.28,V,-1.70,-1.72,285523,345790
1663.85,V,-2.21,-2.21,285523,345624
1666.79,IV,-1.39,-1.41,151574,211570
1669.30,V,-2.20,-2.22,285885,345790
1671.49,V,-2.01,-2.04,236969,296796
1673.93,V,-1.69,-1.74,285885,345624
1675.19,V,-2.31,-2.37,235599,295293
1677.12,V,-1.49,-1.57,286575,346201
1677.71,V,-2.14,-2.17,256235,315840
1679.85,V,-2.48,-2.38,239843,299372
1681.33,V,-2.47,-2.48,255482,314958
1682.40,V,-1.91,-1.93,235730,295168
1684.68,V,-1.69,-1.68,256235,315594
1687.43,V,-1.76,-1.81,285885,345146
1687.80,V,-1.76,-1.81,285523,344771
1689.33,V,-1.97,-2.04,255763,314958
1690.67,V,-1.67,-1.60,286575,345723
1693.51,V,-2.35,-2.37,286575,345624
1698.17,V,-1.76,-1.77,285885,344771
1703.12,V,-1.68,-1.68,255482,314197
1706.42,V,-2.26,-2.28,256235,314838
1707.33,V,-1.48,-1.48,286575,345146
