#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1045.22,IV,-1.34,-1.33,217621,313295
1045.24,IV,-0.29,-0.16,216071,311743
1045.29,IV,0.10,0.05,229064,324731
1045.29,IV,0.10,0.05,229064,324731
1045.29,IV,0.10,0.05,229064,324731
1045.29,IV,0.38,0.44,215133,310800
1045.29,IV,0.38,0.44,215133,310800
1045.29,IV,0.38,0.44,215133,310800
1045.61,IV,-0.30,-0.43,228480,324118
1045.75,IV,-1.36,-1.29,193948,289573
1046.35,IV,-0.02,0.05,202361,297931
1046.36,V,-1.15,-1.24,228048,323617
1046.50,IV,0.94,0.99,216071,311628
1046.79,IV,-1.87,-2.00,220316,315846
1046.88,IV,-0.75,-0.87,217079,312602
1046.99,IV,-1.97,-1.95,217445,312957
1047.14,IV,0.21,0.25,195055,290553
1047.21,IV,-0.86,-0.81,217109,312602
1047.23,IV,0.33,0.39,244671,340162
1047.43,IV,-0.51,-0.41,195827,291299
1047.69,IV,0.37,0.42,218815,314262
1048.12,IV,0.30,0.38,244753,340162
1048.25,IV,-1.35,-1.41,194132,289530
1048.28,IV,0.79,0.81,225387,320782
1048.36,IV,-0.14,0.01,217079,312467
1048.44,IV,-0.49,-0.46,216703,312083
1048.63,IV,0.22,0.28,201211,296573
1048.80,IV,0.34,0.36,244417,339764
1048.94,IV,-1.16,-1.11,214319,309653
1048.94,IV,-1.16,-1.11,214319,309653
1048.95,V,-1.16,-1.15,227543,322876
1049.13,IV,0.42,0.47,218945,314262
1049.29,IV,-0.48,-0.50,194339,289642
1049.74,IV,-0.97,-0.92,199202,294464
1049.83,IV,-0.90,-0.77,218000,313253
1049.93,V,-2.42,-2.42,236109,331354
1049.94,IV,0.24,0.31,218628,313872
1050.05,IV,0.36,0.41,194339,289573
1050.30,V,-1.92,-1.90,220938,316149
1050.40,V,-2.11,-2.00,227543,322744
1050.61,IV,0.94,0.99,224959,320142
1050.73,IV,-0.06,-0.01,214319,309490
1050.89,V,-1.30,-1.26,256273,351431
1051.26,IV,-0.11,-0.08,218171,313295
1051.34,V,-1.34,-1.31,228105,323222
1051.58,IV,0.76,0.82,214319,309414
1051.59,IV,0.47,0.54,225859,320953
1051.61,IV,-1.58,-1.44,244671,339764
1051.72,IV,0.51,0.54,221650,316732
1052.00,IV,-2.23,-2.16,218815,313872
1052.02,IV,-0.08,0.01,244753,339809
1052.25,V,-2.39,-2.38,219203,314238
1052.39,IV,-0.39,-0.27,217445,312467
1052.51,IV,-0.30,-0.32,244753,339764
1052.54,IV,-0.42,-0.40,195544,290553
1052.54,IV,-0.42,-0.40,195544,290553
1052.83,IV,-0.08,-0.08,217079,312061
1052.95,IV,0.15,0.19,217445,312416
1053.10,IV,0.23,0.28,245204,340162
1053.16,IV,-1.30,-1.43,217109,312061
1053.36,V,-2.44,-2.39,189587,284521
1053.44,IV,-0.63,-0.61,218945,313872
1053.50,V,-0.74,-0.68,227543,322464
1053.73,IV,0.87,0.92,218815,313715
1054.01,V,-1.70,-1.62,243140,338016
1054.11,VI,-1.43,-1.44,299251,394117
1054.24,V,-2.14,-2.14,228020,322876
1054.46,VI,-0.55,-0.57,299282,394117
1054.48,V,-2.27,-2.15,227543,322376
1054.53,IV,-1.50,-1.37,201211,296040
1054.58,VI,-0.17,-0.20,299293,394117
1054.95,IV,-0.26,-0.20,203140,297931
1055.25,VI,-0.28,-0.23,299251,394015
1055.41,IV,0.49,0.54,193948,288698
1055.47,IV,-1.21,-1.12,224959,319704
1055.75,VI,0.25,0.19,322792,417512
1055.88,IV,0.85,0.89,244671,339379
1055.97,IV,0.23,0.27,201211,295910
1056.34,IV,-1.44,-1.38,218628,313295
1056.37,IV,-1.05,-0.95,218631,313295
1056.66,IV,0.06,0.06,217445,312083
1056.76,IV,0.04,0.09,218628,313257
1057.04,IV,0.55,0.62,245204,339809
1057.31,IV,-1.90,-1.78,244813,339393
1057.36,V,-0.72,-0.74,227801,322376
1057.46,IV,0.04,0.08,192753,287320
1057.59,V,-1.90,-1.82,226889,321443
1057.62,IV,0.11,0.14,202361,296912
1057.75,IV,0.85,0.92,197325,291865
1057.86,IV,-0.11,-0.06,218726,313257
1057.86,IV,-0.11,-0.06,218726,313257
1058.00,IV,-0.57,-0.54,195055,289573
1058.03,IV,0.70,0.76,218000,312515
1058.29,IV,0.02,-0.05,218138,312630
1058.55,IV,0.11,0.12,219403,313872
1058.57,IV,-1.22,-1.15,218000,312467
1058.61,IV,-0.73,-0.73,218138,312602
1058.62,VI,-0.62,-0.59,322805,417267
1058.63,IV,-2.00,-2.13,217621,312083
1058.83,IV,-1.02,-0.93,195086,289530
1058.83,V,-1.00,-0.89,228020,322464
1058.89,IV,-1.10,-1.13,218815,313253
1058.94,IV,-1.30,-1.22,194132,288566
1058.99,VI,-0.75,-0.88,322792,417221
1059.14,VI,0.30,0.33,322805,417221
1059.14,IV,0.22,0.22,218000,312416
1059.16,IV,-0.09,-0.07,203140,297554
1059.16,IV,-0.76,-0.78,222603,317017
1059.43,VI,-0.80,-0.68,322877,417267
1059.79,V,-2.06,-2.03,228105,322464
1059.79,IV,-0.70,-0.73,194339,288698
1059.80,IV,-1.66,-1.70,215133,309490
1059.82,V,-2.46,-2.37,228020,322376
1059.96,V,-2.05,-2.04,246477,340820
1060.17,IV,-2.26,-2.21,227993,322317
1060.31,IV,-0.96,-0.96,218945,313257
1060.32,IV,-0.85,-0.80,199202,293514
1060.35,IV,0.17,0.21,218945,313253
1060.36,IV,-0.19,-0.31,216703,311011
1060.41,IV,-0.67,-0.60,244671,338975
1060.56,IV,-0.95,-0.91,195684,289974
1060.59,V,-0.95,-0.86,235053,329340
1060.62,IV,-0.93,-0.88,195086,289370
1060.66,IV,-0.76,-0.73,215133,309414
1060.89,VI,0.38,0.43,250877,345137
1061.33,IV,0.44,0.45,244753,338975
1061.43,IV,-0.12,-0.07,202361,296573
1061.61,IV,0.80,0.85,199202,293399
1061.63,IV,-0.03,0.08,217079,311274
1061.71,IV,-1.60,-1.51,223623,317811
1061.97,IV,-1.19,-1.29,217109,311274
1062.17,IV,-1.13,-1.12,195827,289974
1062.30,VI,0.41,0.46,308998,403133
1062.32,IV,-1.10,-1.12,225859,319993
1062.72,V,-2.13,-2.05,246624,340723
1062.73,IV,-1.14,-1.05,216703,310800
1062.80,IV,-2.08,-1.94,229064,323155
1062.82,VI,-0.71,-0.64,308998,403087
1063.03,IV,-0.41,-0.40,220917,314988
1063.21,IV,-0.84,-0.71,218028,312083
1063.30,V,-2.23,-2.16,226889,320935
1063.36,IV,-0.80,-0.79,195932,289974
1063.50,V,-2.43,-2.31,229588,323617
1063.58,VI,-1.12,-1.09,309111,403133
1063.76,V,-2.12,-2.07,246477,340483
1063.84,IV,0.28,0.34,218000,311998
1064.02,IV,-1.44,-1.40,213535,307517
1064.04,IV,0.70,0.76,200483,294464
1064.10,VI,0.26,0.32,309111,403087
1064.13,IV,-1.36,-1.44,218628,312602
1064.41,IV,-0.91,-0.82,221650,315599
1064.43,VI,0.59,0.64,299143,393090
1064.69,IV,-1.87,-1.78,218138,312061
1064.80,IV,-0.27,-0.21,199599,293514
1065.07,IV,-0.72,-0.63,218171,312061
1065.21,VI,-0.79,-0.71,309111,402989
1065.44,V,-1.23,-1.17,246624,340483
1065.48,IV,-0.38,-0.40,219403,313257
1065.66,IV,-0.68,-0.67,218628,312467
1065.80,IV,-1.11,-1.11,195544,289370
1065.85,IV,0.39,0.43,197325,291147
1065.92,IV,-2.38,-2.48,218815,312630
1066.02,IV,-1.30,-1.23,213360,307167
1066.09,V,-2.04,-2.00,265692,359492
1066.25,IV,-2.43,-2.39,224959,318746
1066.39,IV,0.05,0.12,198179,291954
1066.43,IV,-0.58,-0.52,245204,338975
1066.87,IV,-1.06,-0.92,217445,311177
1067.00,IV,-0.90,-0.91,217079,310800
1067.25,IV,-2.26,-2.26,218028,311727
1067.40,IV,-0.57,-0.57,195684,289370
1067.91,V,-1.58,-1.61,226311,319952
1067.98,V,-1.72,-1.69,229588,323222
1068.12,IV,-1.26,-1.11,213360,306983
1068.16,VI,-0.66,-0.52,322792,416411
1068.31,VI,0.02,0.13,322805,416411
1068.31,V,-2.49,-2.48,265886,359492
1068.88,IV,0.13,0.01,217621,311177
1068.96,IV,-1.87,-1.99,227993,321542
1069.14,VI,0.29,0.30,322877,416411
1069.27,IV,0.03,0.14,218945,312467
1069.39,IV,-1.06,-1.07,195055,288566
1069.50,IV,-0.97,-0.85,213665,307167
1069.74,IV,-0.50,-0.53,195086,288566
1069.85,IV,-1.46,-1.35,218945,312416
1070.01,IV,-0.25,-0.26,194132,287589
1070.02,VI,-0.01,0.07,299256,392713
1070.04,IV,-0.38,-0.40,218628,312083
1070.08,VI,-0.96,-0.89,299143,392594
1070.11,IV,-1.24,-1.14,213535,306983
1070.31,VI,-0.70,-0.58,299282,392713
1070.32,IV,0.02,0.07,218631,312061
1070.34,V,-2.23,-2.24,223214,316643
1070.39,VI,-1.51,-1.48,309111,402534
1070.40,IV,0.08,0.13,199599,293022
1070.44,VI,-0.41,-0.30,299293,392713
1070.91,V,-0.83,-0.71,226311,319689
1070.97,VI,0.15,0.16,299143,392517
1070.99,IV,-0.16,-0.13,193948,287320
1071.11,IV,-0.17,-0.10,217650,311011
1071.13,IV,-0.77,-0.71,225387,318746
1071.17,IV,-1.94,-1.90,218726,312083
1071.17,IV,-0.42,-0.45,217445,310800
1071.30,V,-0.55,-0.49,228020,321365
1071.38,V,-1.70,-1.58,228105,321443
1071.38,VI,0.51,0.56,299256,392594
1071.87,IV,-0.16,-0.11,200720,294015
1072.26,VI,-0.33,-0.26,299256,392517
1072.28,V,-1.35,-1.32,228105,321365
1072.33,V,-1.93,-1.91,265886,359141
1072.35,IV,0.35,0.50,229064,322317
1072.35,IV,0.35,0.50,229064,322317
1072.38,IV,-0.91,-0.93,194339,287589
1072.41,V,-2.39,-2.38,222886,316134
1072.58,VI,0.00,0.09,322792,416025
1072.95,IV,-2.38,-2.38,222398,315599
1073.15,IV,-0.92,-0.78,218815,311998
1073.22,IV,-0.85,-0.73,218000,311177
1073.46,V,-1.16,-1.29,229588,322744
1073.63,IV,0.72,0.77,227993,321135
1073.68,IV,-0.79,-0.73,218945,312083
1074.02,V,-1.49,-1.35,226311,319419
1074.08,IV,-2.00,-1.94,218171,311274
1074.55,IV,0.62,0.67,228480,321542
1074.81,IV,0.41,0.49,218138,311177
1074.91,IV,0.07,0.13,200483,293514
1075.00,VI,-1.33,-1.41,309111,402134
1075.01,IV,-1.78,-1.84,195544,288566
1075.30,IV,-1.06,-1.01,226271,319268
1075.46,IV,-0.14,-0.08,218028,311011
1075.50,IV,-0.79,-0.79,194339,287320
1075.59,V,-1.73,-1.69,265752,358725
1075.63,V,-0.65,-0.60,228105,321074
1075.64,IV,0.50,0.57,198179,291147
1075.95,IV,-1.52,-1.42,220316,313257
1076.41,V,-2.11,-2.10,246477,339378
1076.55,VI,0.27,0.32,322805,415694
1076.74,IV,-0.33,-0.21,218138,311011
1077.31,IV,0.48,0.51,230331,323155
1077.39,VI,0.30,0.35,322877,415694
1077.61,IV,-2.24,-2.23,220917,313715
1077.64,V,-1.96,-1.84,229774,322569
1077.66,IV,0.23,0.32,200720,293514
1077.72,IV,-1.14,-1.00,227993,320782
1077.72,V,-1.13,-1.12,229588,322376
1078.13,IV,-1.08,-1.14,214413,307167
1078.13,V,-1.24,-1.24,246624,339378
1078.17,V,-1.64,-1.62,265975,358725
1078.29,IV,-1.42,-1.34,195827,288566
1078.68,IV,-1.22,-1.15,198179,290885
1078.86,V,-0.70,-0.66,230532,323222
1078.98,IV,-0.03,0.02,219403,312083
1079.24,V,-2.24,-2.24,223477,316134
1079.38,IV,-0.53,-0.46,218628,311274
1079.41,IV,-0.25,-0.34,218631,311274
1079.42,VI,0.64,0.69,322877,415520
1079.82,IV,0.51,0.52,227993,320601
1079.86,V,-2.08,-1.97,229588,322192
1080.10,IV,0.43,0.42,228480,321064
1080.52,IV,-0.68,-0.64,218726,311274
1080.62,IV,-1.82,-1.73,200483,293022
1080.68,IV,-1.36,-1.39,195055,287589
1080.83,V,-2.29,-2.28,190100,282622
1081.78,V,-0.82,-0.75,234036,326477
1082.12,IV,-2.07,-2.15,217079,309490
1082.15,V,-2.15,-2.10,227543,319952
1082.25,VI,0.25,0.30,250877,343277
1082.27,VI,0.31,0.31,299293,391692
1082.45,IV,-0.68,-0.65,218628,311011
1082.56,IV,-1.10,-1.11,198179,290553
1082.75,IV,-0.38,-0.51,229694,322051
1082.77,V,-1.71,-1.69,189587,281942
1082.78,IV,-0.89,-0.86,199599,291954
1083.23,IV,-2.16,-2.07,197325,289642
1083.24,V,-0.89,-0.87,272755,365071
1083.39,IV,-1.42,-1.53,201211,293514
1083.56,IV,-0.06,0.08,230236,322524
1083.59,IV,-0.22,-0.34,220316,312602
1083.77,V,-1.60,-1.55,272801,365071
1083.84,IV,-1.37,-1.34,195055,287320
1083.93,V,-2.45,-2.40,265692,357948
1084.22,IV,-2.12,-2.11,218945,311177
1084.42,V,-1.19,-1.08,235053,327268
1084.72,V,-1.85,-1.83,265692,357881
1085.15,VI,-1.12,-1.14,309111,401264
1085.18,V,-1.43,-1.58,227801,319952
1085.52,IV,-1.26,-1.39,228480,320601
1085.53,IV,-1.33,-1.37,224071,316192
1085.82,V,-1.34,-1.32,188833,280929
1086.18,IV,-1.83,-1.79,218945,311011
1086.22,V,-2.00,-1.94,265886,357948
1086.42,IV,-1.34,-1.31,195544,287589
1087.27,V,-2.40,-2.34,265975,357948
1087.32,IV,-2.42,-2.43,217445,309414
1087.64,VI,-0.70,-0.59,299256,391198
1087.95,VI,0.30,0.35,299282,391198
1088.17,V,-1.55,-1.46,220208,312106
1088.21,V,-0.60,-0.59,239541,331435
1088.28,V,-0.67,-0.61,227801,319689
1088.36,IV,-1.28,-1.31,241855,333737
1088.50,IV,-1.05,-1.01,217621,309490
1088.67,IV,-1.24,-1.18,218945,310800
1088.71,V,-0.92,-0.88,272755,364607
1088.83,V,-1.94,-1.92,190100,281942
1089.08,V,-1.33,-1.33,239615,331435
1089.20,IV,-0.43,-0.38,201211,293022
1089.59,V,-1.45,-1.44,229588,321365
1089.62,IV,-2.04,-2.00,224071,315846
1089.64,V,-1.68,-1.67,223214,314988
1090.27,IV,-0.17,-0.09,230331,322051
1090.51,IV,-1.26,-1.34,199599,291299
1090.74,V,-0.27,-0.22,220208,311889
1091.05,IV,-0.54,-0.49,202361,294015
1091.21,V,-1.21,-1.19,187779,279421
1091.21,V,-1.22,-1.17,228048,319689
1091.49,V,-1.00,-0.95,227801,319419
1091.61,IV,-0.75,-0.69,219403,311011
1092.12,VI,-1.97,-1.90,308998,400563
1092.43,V,-0.41,-0.39,246477,338016
1092.72,V,-1.04,-0.95,220623,312138
1092.76,V,-1.76,-1.75,223477,314988
1093.10,V,-0.57,-0.52,220623,312106
1093.47,VI,-1.82,-1.76,309111,400563
1093.78,IV,-2.24,-2.37,218631,310057
1093.96,IV,-0.70,-0.80,220316,311727
1094.17,IV,-0.30,-0.37,198179,289573
1094.19,V,-1.09,-1.07,246624,338016
1094.42,IV,-1.66,-1.65,197325,288698
1094.48,VI,0.22,0.27,299251,390618
1094.66,V,-1.76,-1.72,222886,314238
1094.69,IV,-1.05,-1.06,198179,289530
1094.71,VI,0.10,0.16,250877,342225
1094.79,V,-1.45,-1.44,189587,280929
1094.81,V,-2.15,-2.01,236040,327380
1094.86,VI,-2.31,-2.28,299282,390618
1094.93,IV,-1.80,-1.92,221272,312602
1094.99,VI,-1.20,-1.10,299293,390618
1095.48,V,-1.74,-1.69,228020,319304
1095.70,V,-1.12,-1.11,220623,311889
1095.81,V,-0.58,-0.58,228048,319304
1095.92,IV,-2.48,-2.43,200483,291730
1095.93,V,-2.21,-2.15,219203,310450
1096.20,IV,-1.73,-1.86,228480,319704
1096.27,IV,-2.46,-2.44,221739,312957
1096.38,V,-1.89,-1.84,236059,327268
1096.49,V,-0.72,-0.68,220938,312138
1096.50,V,-1.79,-1.82,228105,319304
1096.88,V,-1.38,-1.37,220938,312106
1096.95,V,-1.92,-1.83,229774,320935
1097.09,V,-0.79,-0.84,239615,330765
1097.87,IV,-1.40,-1.50,201211,292297
1097.92,IV,-1.85,-1.79,220917,311998
1098.48,VI,-0.12,-0.06,265639,356674
1098.60,IV,-2.34,-2.19,218628,309653
1098.62,V,-2.16,-2.17,223214,314238
1098.78,IV,-1.92,-1.92,200720,291730
1099.26,V,-0.98,-0.95,265692,356662
1099.40,IV,-0.74,-0.73,220316,311274
1099.46,IV,-0.77,-0.83,199599,290553
1099.55,V,-1.92,-1.88,256273,347219
1099.97,V,-1.87,-1.83,230532,321443
1100.23,V,-1.67,-1.62,226311,317201
1100.31,V,-0.52,-0.46,187779,278663
1100.40,IV,-0.19,-0.14,203140,294015
1100.52,V,-1.54,-1.56,221272,312138
1100.56,IV,-1.10,-0.97,221739,312602
1100.92,V,-1.30,-1.24,230532,321365
1100.98,IV,-0.68,-0.63,230236,321064
1101.31,V,-0.63,-0.63,221272,312073
1101.89,IV,0.38,0.42,227993,318746
1102.01,IV,0.28,0.36,201211,291954
1102.22,IV,-1.53,-1.47,222527,313253
1102.97,V,-0.90,-0.84,188833,279497
1103.01,IV,-0.04,0.02,202361,293022
1103.21,V,-1.23,-1.21,220938,311582
1103.25,V,-1.72,-1.69,272755,363397
1103.36,V,-1.33,-1.27,234036,324668
1103.49,IV,-0.02,-0.11,230331,320953
1103.51,V,-0.74,-0.67,265752,356372
1103.63,V,-0.89,-0.82,220623,311233
1103.78,V,-2.40,-2.40,219203,309801
1103.80,V,-1.12,-1.07,272801,363397
1103.89,V,-1.10,-1.09,188833,279421
1104.01,IV,-1.58,-1.52,200720,291299
1104.17,V,-1.19,-1.08,221272,311838
1104.33,IV,-2.16,-2.17,202361,292913
1104.46,V,-1.33,-1.31,230532,321074
1104.77,IV,-0.87,-0.92,227993,318510
1105.00,VI,0.10,0.15,265639,356137
1105.14,V,-0.84,-0.80,265886,356372
1105.23,V,-1.63,-1.53,189587,280066
1105.52,IV,-0.74,-0.84,221272,311727
1105.67,V,-2.08,-2.10,229774,320216
1106.06,IV,-1.95,-1.95,221650,312061
1106.23,V,-0.05,-0.01,265975,356372
1106.56,IV,-1.95,-1.96,199202,289573
1106.75,IV,-2.38,-2.46,222603,312957
1106.88,IV,-0.86,-0.87,221739,312083
1107.02,IV,-2.16,-2.30,225859,316192
1107.08,IV,-2.02,-1.98,199202,289530
1107.14,IV,-1.08,-1.08,221739,312061
1107.20,V,-1.95,-1.95,221664,311982
1107.64,V,-1.11,-1.05,220938,311220
1107.72,V,-0.45,-0.39,220208,310483
1107.75,V,-2.49,-2.47,190100,280373
1107.83,IV,-0.88,-0.86,228480,318746
1107.86,IV,-1.17,-1.19,197325,287589
1107.91,IV,-0.75,-0.71,220917,311177
1108.01,V,-1.38,-1.42,220623,310875
1108.77,IV,-1.90,-1.86,219867,310057
1109.31,V,-1.05,-1.00,236331,326477
1109.37,IV,-1.64,-1.69,221602,311743
1109.60,V,0.34,0.39,265752,355875
1111.08,V,-0.67,-0.62,189587,279590
1111.18,IV,-1.59,-1.56,197325,287320
1111.45,V,-1.70,-1.68,190400,280373
1111.54,V,-0.81,-0.75,190100,280066
1111.75,V,-1.72,-1.69,221272,311220
1111.89,V,-1.15,-1.02,220938,310875
1112.17,V,-0.75,-0.71,265692,355606
1112.23,V,-0.68,-0.62,189587,279497
1112.35,V,-0.58,-0.53,265975,355875
1112.39,IV,-0.05,0.04,217621,307517
1112.55,V,-2.19,-2.09,236040,325923
1112.57,IV,-0.95,-0.85,203140,293022
1112.79,V,-1.85,-1.74,236059,325923
1112.88,IV,-0.97,-0.93,233299,323155
1113.20,V,-1.48,-1.42,229588,319419
1113.21,V,-0.85,-0.79,188833,278663
1113.51,V,-1.12,-1.08,243140,332946
1113.94,IV,-2.31,-2.41,199599,289370
1114.34,IV,-1.80,-1.92,225859,315599
1114.51,IV,-1.39,-1.26,222336,312061
1114.52,V,-0.70,-0.66,239615,329340
1114.58,V,-0.02,0.03,265886,355606
1114.62,V,-0.85,-0.80,229588,319304
1115.02,IV,-1.01,-0.91,222398,312083
1115.15,IV,-0.80,-0.84,201211,290885
1115.18,V,-1.79,-1.80,222401,312073
1115.26,V,-1.92,-1.77,190400,280066
1115.63,VI,0.25,0.29,322805,412440
1115.65,IV,-1.72,-1.63,223623,313257
1115.65,IV,-2.31,-2.22,226558,316192
1115.69,V,-1.35,-1.26,265975,355606
1115.70,IV,-2.09,-2.16,223000,312630
1115.82,VI,0.24,0.29,265639,355259
1116.03,V,-1.25,-1.22,221272,310875
1116.05,IV,-2.15,-2.21,223000,312602
1116.06,IV,-1.06,-0.99,225387,314988
1116.16,IV,-0.98,-0.85,202361,291954
1116.51,VI,0.49,0.54,299143,388708
1116.54,IV,-1.73,-1.78,201211,290774
1116.54,VI,0.21,0.26,322877,412440
1116.75,IV,-0.50,-0.43,217621,307167
1116.89,VI,0.19,0.23,322792,412326
1117.05,VI,-0.28,-0.19,322805,412326
1117.45,V,-0.50,-0.45,190100,279590
1117.54,V,-2.48,-2.37,221272,310754
1117.58,V,-1.99,-1.92,236040,325519
1117.69,V,-0.89,-0.75,234036,323506
1117.79,V,-0.28,-0.23,188833,278295
1117.82,V,-2.03,-1.99,236059,325519
1117.83,V,-2.39,-2.32,246477,335935
1117.92,VI,-1.13,-1.06,299256,388708
1118.44,IV,-1.80,-1.75,198179,287589
1118.56,V,-1.48,-1.52,227801,317201
1118.72,V,-0.45,-0.39,272755,362143
1119.02,IV,-1.81,-1.83,199202,288566
1119.29,V,-1.36,-1.33,272801,362143
1119.35,IV,-1.89,-2.02,220316,309653
1119.83,VI,-0.34,-0.26,299143,388442
1120.17,IV,-1.12,-1.08,221739,311011
1120.25,VI,-1.08,-1.04,309111,398377
1120.38,IV,-1.09,-1.15,230331,319587
1120.40,IV,-2.33,-2.40,200720,289974
1120.51,V,-2.01,-1.98,226889,316134
1120.76,IV,0.29,0.43,233299,322524
1120.95,IV,-2.10,-2.20,202361,291571
1121.21,V,-0.39,-0.34,190400,279590
1121.24,V,-1.33,-1.31,236331,325519
1121.25,VI,0.34,0.39,299256,388442
1121.32,V,-1.53,-1.54,228020,317201
1121.66,V,-0.06,-0.06,228048,317201
1121.67,V,-0.22,-0.17,265752,354905
1121.72,VI,-1.33,-1.26,299293,388442
1121.72,V,-0.86,-0.81,220623,309772
1121.83,IV,-1.50,-1.54,198179,287320
1122.27,V,-0.07,-0.02,265692,354797
1122.58,VI,0.30,0.35,322792,411872
1122.75,VI,0.05,0.10,322805,411872
1122.82,V,-1.76,-1.79,220208,309269
1122.89,VI,-0.29,-0.22,299256,388312
1123.21,VI,-1.63,-1.54,299282,388312
1123.28,VI,-1.08,-1.06,308998,398023
1123.35,VI,0.23,0.27,299293,388312
1123.35,V,-0.80,-0.72,265886,354905
1123.51,IV,-1.17,-1.18,243029,332036
1123.64,IV,-0.50,-0.47,218171,307167
1123.66,VI,-0.98,-0.91,322877,411872
1124.07,IV,-1.38,-1.40,222666,311628
1124.18,VI,0.10,0.14,299282,388236
1124.31,VI,-0.35,-0.29,299293,388236
1124.34,VI,-0.04,0.01,299251,388192
1124.48,V,-0.22,-0.14,265975,354905
1124.71,VI,0.39,0.45,309111,398023
1124.72,V,-2.28,-2.38,265886,354797
1124.74,VI,-0.56,-0.49,299282,388192
1125.00,IV,-1.78,-1.73,218628,307517
1125.02,IV,-2.16,-2.15,200483,289370
1125.33,V,-1.15,-1.15,220938,309801
1125.38,V,-2.21,-2.22,223214,312073
1125.41,V,-1.14,-1.08,265692,354548
1125.63,V,-2.15,-2.23,234036,322876
1125.70,V,-2.32,-2.30,220938,309772
1125.73,V,-1.41,-1.35,222401,311233
1125.89,V,-1.88,-1.94,222401,311220
1125.98,IV,-1.00,-0.98,218171,306983
1126.13,V,-1.67,-1.68,236109,324909
1126.21,IV,-2.46,-2.39,244943,333737
1126.29,V,-2.19,-2.17,219203,307991
1126.30,V,-1.52,-1.51,221664,310450
1126.39,IV,-2.35,-2.43,222398,311177
1126.68,IV,-1.72,-1.62,224959,313715
1127.30,V,-0.36,-0.31,189587,278295
1127.44,V,-0.95,-0.93,222886,311582
1127.88,V,-0.74,-0.66,265886,354548
1128.08,V,-0.70,-0.65,220623,309269
1128.37,V,-1.21,-1.23,223214,311838
1128.38,V,-1.22,-1.21,228020,316643
1128.50,IV,-1.40,-1.52,222398,311011
1128.58,V,-1.03,-1.02,227543,316149
1128.59,V,-1.88,-1.81,223376,311982
1128.73,V,-1.28,-1.30,228048,316643
1128.76,IV,-1.77,-1.83,221272,309865
1128.79,IV,-1.74,-1.73,203140,291730
1128.81,V,0.01,0.07,187779,276368
1129.01,V,-0.45,-0.41,265975,354548
1129.12,V,-0.60,-0.52,235053,323617
1129.45,IV,-2.13,-2.08,218628,307167
1129.47,V,-2.11,-2.09,228105,316643
1129.57,V,-1.81,-1.79,221272,309801
1129.63,IV,-1.59,-1.69,202361,290885
1130.28,V,-0.82,-0.84,222401,310875
1130.73,IV,-1.15,-1.08,223623,312061
1131.13,VI,0.48,0.53,308998,397404
1131.72,V,-1.96,-2.04,223477,311838
1131.79,V,-0.92,-0.84,220938,309294
1131.88,V,0.21,0.25,227801,316149
1132.06,V,-1.33,-1.34,222886,311220
1132.11,V,-1.18,-1.14,220938,309269
1132.26,IV,-1.49,-1.54,201211,289530
1132.53,V,-0.25,-0.21,221272,309570
1132.54,IV,-1.27,-1.16,223764,312061
1132.57,V,-1.88,-1.77,243140,331435
1132.84,IV,-2.35,-2.46,223000,311274
1133.11,IV,-1.61,-1.75,244753,333006
1133.11,IV,-1.61,-1.75,244753,333006
1133.23,IV,-0.72,-0.74,233299,321542
1133.37,IV,-1.64,-1.71,227960,316192
1133.40,V,-1.19,-1.19,223477,311706
1133.82,IV,-1.39,-1.38,222603,310800
1133.85,V,-1.60,-1.63,220623,308818
1133.86,V,-0.42,-0.38,190100,278295
1134.17,V,-0.62,-0.61,235053,323222
1134.31,IV,-1.92,-1.91,201211,289370
1134.39,V,-0.27,-0.22,265886,354039
1134.89,IV,-2.19,-2.06,219403,307517
1135.08,V,-1.47,-1.41,226889,314988
1135.31,V,-1.94,-1.91,222401,310483
1135.86,V,-2.02,-2.00,221664,309703
1135.99,V,-1.23,-1.19,228105,316134
1136.08,V,-1.14,-1.10,221272,309294
1136.23,IV,-2.49,-2.42,223000,311011
1136.29,V,-1.01,-0.97,223214,311220
1136.50,V,-1.34,-1.29,222886,310875
1137.20,V,-2.20,-2.26,219203,307139
1137.25,VI,0.27,0.33,308998,396929
1137.68,V,-0.51,-0.47,265692,353590
1137.74,V,-1.42,-1.46,265752,353646
1137.92,V,-1.90,-1.91,220938,308818
1138.07,V,-2.40,-2.37,222886,310754
1138.21,V,-0.47,-0.40,220208,308065
1138.72,VI,-0.74,-0.67,309111,396929
1138.95,IV,-1.67,-1.63,223000,310800
1139.03,V,-1.64,-1.57,265692,353486
1139.40,IV,-0.53,-0.57,233299,321064
1139.47,V,-0.89,-0.87,265886,353646
1140.22,V,-1.61,-1.67,219203,306906
1140.63,V,-0.95,-0.98,265975,353646
1140.85,IV,-1.02,-1.11,233299,320953
1140.86,V,-0.68,-0.67,239615,327268
1141.23,V,-1.46,-1.47,243140,330765
1141.31,IV,-2.21,-2.10,244417,332036
1141.38,IV,-2.11,-2.09,202361,289974
1141.56,V,-1.33,-1.24,265886,353486
1142.34,V,-1.13,-1.11,223214,310754
1142.35,IV,-2.31,-2.43,219403,306942
