#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
964.26,VI,-2.26,-2.21,299282,402989
964.30,IV,-1.73,-1.81,220917,324619
964.36,VI,-2.30,-2.23,299293,402989
964.45,V,-1.96,-1.97,239615,343301
964.80,IV,0.29,0.38,203869,307517
965.07,IV,-1.40,-1.26,217445,321064
965.66,IV,-1.69,-1.55,228480,332036
965.71,V,-2.16,-2.26,200648,304199
965.97,IV,-1.35,-1.37,243725,347249
966.16,IV,-1.58,-1.63,218815,322317
966.90,IV,-1.35,-1.27,218628,322051
966.98,V,-2.22,-2.18,228020,331435
967.37,IV,-1.50,-1.41,218945,322317
967.74,IV,-1.53,-1.57,225387,328720
967.88,V,-2.23,-2.19,236059,339378
968.07,IV,0.21,0.29,203869,307167
968.85,VI,-2.26,-2.14,309111,412326
969.39,IV,-1.70,-1.74,192753,295910
969.80,IV,0.03,0.10,203869,306983
969.87,IV,-1.77,-1.70,218945,322051
970.71,IV,-0.97,-0.95,221602,324619
972.19,IV,-0.84,-0.85,225859,328720
972.33,IV,-2.15,-2.08,190554,293399
972.37,VI,-1.80,-1.83,299293,402134
972.47,V,-2.40,-2.39,200648,303479
972.93,IV,-2.02,-2.05,218000,320782
972.95,IV,-1.87,-1.87,194132,296912
973.21,VI,-1.83,-1.86,322792,425544
973.34,VI,-1.43,-1.42,322805,425544
973.95,IV,-1.57,-1.56,216071,318746
975.03,V,-2.12,-2.00,200648,303209
975.65,IV,-0.52,-0.54,244753,347249
975.91,IV,-2.18,-2.14,195086,297554
976.06,V,-1.75,-1.70,256272,358725
976.07,IV,-1.53,-1.51,217445,319896
976.10,IV,-1.50,-1.44,226271,328720
976.19,IV,-2.17,-2.05,216071,318510
977.20,IV,-1.50,-1.50,222398,324731
977.28,IV,-0.74,-0.64,218628,320953
977.76,IV,-1.50,-1.57,217621,319896
977.97,V,-2.16,-2.14,220623,322876
978.27,IV,-0.27,-0.36,222398,324619
978.44,IV,-0.70,-0.64,222527,324731
978.58,IV,-2.01,-1.95,217079,319268
978.65,IV,-0.98,-1.01,227160,329341
979.00,V,-2.47,-2.37,199441,301587
979.23,VI,-0.76,-0.76,299143,401264
979.25,IV,-1.73,-1.88,218945,321064
979.51,IV,-2.04,-2.01,222527,324619
979.97,IV,-0.04,0.04,245204,347249
980.31,VI,-1.26,-1.26,299256,401264
980.67,VI,-2.26,-2.21,299293,401264
980.68,IV,-0.59,-0.57,225387,327357
981.39,IV,-1.25,-1.38,218000,319896
981.77,IV,-2.19,-2.16,195055,296912
981.86,V,-1.90,-1.84,229588,331435
982.06,IV,-2.08,-2.12,195086,296912
982.26,V,-1.85,-1.75,220938,322744
982.32,IV,0.29,0.33,230236,332036
982.53,IV,-1.77,-1.85,194132,295910
982.94,IV,-1.51,-1.37,220316,322051
983.02,IV,-1.54,-1.54,195827,297554
983.24,IV,-0.33,-0.37,230331,332036
983.43,V,-2.45,-2.42,236331,338016
983.52,V,-2.38,-2.32,256273,357948
984.32,IV,-2.39,-2.47,225387,326980
984.38,IV,-2.19,-2.30,218000,319587
984.45,V,-1.72,-1.66,229774,331354
984.53,IV,-1.41,-1.38,194339,295910
984.74,IV,-0.50,-0.39,219403,320953
984.83,VI,-1.13,-1.20,322792,424333
986.50,IV,-1.39,-1.36,195544,296912
986.80,IV,-1.37,-1.22,190528,291865
986.98,V,-2.39,-2.37,228020,329340
987.10,VI,-0.76,-0.77,299256,400563
987.15,IV,-2.44,-2.47,217445,318746
987.36,VI,-2.05,-2.03,299282,400563
987.36,IV,-1.76,-1.84,214319,315599
987.46,VI,-1.14,-1.15,299293,400563
987.81,V,-2.39,-2.30,228105,329340
989.04,IV,-0.32,-0.28,223623,324731
989.26,IV,-2.11,-2.14,195827,296912
990.02,IV,-2.07,-2.12,190554,291562
990.88,V,-1.90,-1.96,221272,322192
991.25,V,-1.21,-1.19,235053,335935
991.38,IV,-2.35,-2.25,221739,322608
991.52,IV,-1.24,-1.21,195055,295910
991.80,VI,-1.58,-1.57,322792,423618
992.33,IV,-1.42,-1.51,192741,293514
992.45,IV,-1.54,-1.44,227960,328720
992.89,IV,-1.16,-1.04,221602,322317
993.58,IV,-1.82,-1.71,192753,293399
993.73,VI,-2.10,-2.08,299251,399881
993.79,IV,-1.14,-1.17,220917,321542
994.04,VI,-1.09,-1.10,299282,399881
994.10,IV,-1.15,-1.28,190554,291147
994.15,VI,-0.75,-0.75,299293,399881
994.23,IV,-1.94,-1.82,193434,294015
994.33,IV,-2.42,-2.33,233299,333869
994.75,V,-2.20,-2.27,221664,322192
995.09,IV,-2.27,-2.21,219403,319896
995.12,V,-2.08,-2.12,226889,327380
995.28,V,-1.20,-1.12,222401,322876
995.37,IV,-0.32,-0.44,215133,315599
995.70,V,-2.20,-2.11,200648,301081
996.35,IV,-2.04,-2.04,195544,295910
996.69,VI,-2.08,-2.18,322792,423124
996.77,IV,-1.46,-1.32,218945,319268
996.88,IV,-1.29,-1.28,221739,322051
997.67,V,-2.00,-1.97,230532,330765
998.00,V,-2.31,-2.22,219203,319404
998.04,V,-1.83,-1.84,243140,343337
998.08,IV,-1.29,-1.28,191762,291954
998.16,IV,-1.73,-1.58,219403,319587
998.16,VI,-1.17,-1.18,299251,399435
998.39,IV,-1.56,-1.64,217650,317811
998.48,IV,-1.10,-1.09,214835,314988
998.48,VI,-0.67,-0.68,299282,399435
998.53,IV,-1.02,-1.13,220917,321064
998.74,IV,-1.00,-0.86,222398,322524
999.33,VI,-1.58,-1.57,322792,422859
999.51,VI,-1.40,-1.55,322792,422841
999.58,VI,-2.44,-2.43,322792,422834
1000.01,IV,-0.86,-0.89,190554,290553
1000.03,IV,0.19,0.11,222527,322524
1000.10,V,-1.90,-1.85,222886,322876
1000.19,VI,-1.05,-0.99,322877,422859
1000.24,IV,-2.38,-2.49,226271,326248
1000.60,IV,0.46,0.52,221602,321542
1000.66,IV,-0.73,-0.65,213360,313295
1000.82,IV,-0.75,-0.82,190528,290445
1001.35,IV,-1.21,-1.06,219403,319268
1001.36,IV,-0.38,-0.36,215734,315599
1001.36,IV,-0.38,-0.36,215734,315599
1001.38,VI,-0.70,-0.84,299251,399113
1001.42,V,-2.44,-2.41,222886,322744
1001.45,IV,-0.30,-0.25,215133,314988
1002.40,IV,-0.92,-0.97,213535,313295
1002.49,V,-1.49,-1.44,229588,329340
1002.55,V,-2.46,-2.38,223477,323222
1002.81,V,-1.59,-1.55,219203,318923
1003.17,IV,0.02,0.11,220917,320601
1003.33,V,-2.33,-2.28,201413,301081
1003.45,IV,-2.34,-2.24,229064,328720
1003.48,IV,-0.92,-0.82,222398,322051
1003.54,IV,-1.50,-1.45,229694,329341
1003.72,IV,-0.71,-0.73,213665,313295
1004.14,IV,-2.30,-2.20,193434,293022
1005.38,VI,-2.09,-2.00,322805,422270
1005.41,IV,-0.27,-0.20,221602,321064
1005.74,V,-2.03,-1.95,230532,329961
1005.76,IV,-1.22,-1.24,214835,314262
1005.81,IV,-0.79,-0.73,213535,312957
1006.37,IV,-0.69,-0.55,217650,317017
1006.98,V,-0.78,-0.72,222886,322192
