#list of all IG-element (stages III-VI) transitions found in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1160.09,Co,VI,-0.14,307720.00,393920.40
1160.13,Fe,V,-1.20,366564.40,280367.20
1160.14,Ni,V,-1.00,243266.20,329462.30
1160.18,Ni,VI,-0.69,332175.40,418368.80
1160.22,Ni,VI,-0.06,343842.60,430033.30
1160.36,Co,VI,-0.22,275088.00,361268.20
1160.43,Co,VI,-0.71,273727.70,359902.90
1160.51,Fe,VI,-0.41,287919.20,374088.30
1160.54,Ti,IV,-1.70,196889.96,283057.00
1160.56,Fe,IV,-1.48,165493.10,251658.34
1160.57,Co,VI,-0.83,298620.20,384784.60
1160.84,Ni,V,-1.79,212455.70,298600.60
1160.90,Co,VI,-0.57,274319.00,360458.80
1161.34,Co,V,-1.18,255002.90,341110.00
1161.37,Co,VI,-0.21,273727.70,359833.00
1161.38,Ni,V,-1.96,239107.70,325211.90
1161.42,Ni,V,-1.88,234412.70,320513.80
1161.54,Ni,VI,-0.55,347278.50,433371.20
1161.57,Co,V,-0.65,255002.90,341093.00
1161.82,Ni,VI,-0.69,347445.20,433517.30
1161.88,Ni,VI,-0.46,358716.60,444784.20
1161.89,Fe,V,-1.41,216538.10,302604.50
1161.93,Fe,V,-2.11,415912.30,329848.60
1161.95,Ni,VI,0.12,296696.70,382758.90
1162.01,Ni,VI,0.05,337007.70,423065.50
1162.05,Cr,IV,-0.08,263971.00,177916.50
1162.10,Cr,IV,-1.58,247546.70,161495.30
1162.34,Fe,V,-2.16,196838.60,282871.90
1162.43,Fe,V,-1.27,381999.80,295973.20
1162.48,Fe,V,-1.78,388400.30,302377.10
1163.25,Ni,VI,0.29,298130.50,384096.50
1163.37,Ni,V,-1.78,229413.00,315370.10
1163.38,Ni,VI,-0.35,358827.90,444784.20
1163.52,Ni,V,-0.39,247049.10,332995.60
1163.52,Ti,V,-0.51,496890.70,582836.50
1163.68,Ni,V,-1.23,208151.50,294086.00
1163.71,Ni,V,-1.70,307025.20,392957.10
1163.85,Ni,V,-0.72,208164.60,294086.00
1164.15,Fe,VI,-1.26,264118.30,350017.80
1164.20,Ni,VI,-0.81,329486.20,415382.00
1164.33,Ni,VI,-0.50,329754.20,415640.80
1164.64,Ti,V,-1.48,487974.60,573838.30
1164.88,Cr,IV,0.01,263875.90,178030.00
1164.92,Cr,IV,-2.29,250752.70,164909.70
1165.01,Ni,V,-1.44,240193.80,326029.90
1165.10,Ni,VI,-0.14,298130.50,383960.20
1165.14,Fe,VI,-1.77,263135.90,348962.10
1165.22,Mn,VI,-0.21,440234.10,526055.00
1165.23,Mn,VI,-0.80,440234.10,526054.00
1165.49,Co,V,-1.06,255292.50,341093.00
1165.56,Fe,V,-1.04,388400.30,302604.50
1165.58,Ni,V,-0.98,241082.20,326876.30
1165.67,Fe,V,-0.78,366154.70,280367.20
1165.67,Fe,VI,0.05,288638.30,374425.60
1165.78,Ni,V,-0.93,240959.60,326739.00
1165.86,Ni,V,-0.95,234125.40,319899.10
1165.92,Co,VI,-0.30,303840.90,389610.30
1165.92,Ni,VI,-0.32,337993.90,423763.30
1166.23,Ni,V,-1.55,212095.80,297842.50
1166.26,Fe,V,-2.21,216860.40,302604.50
1166.31,Ni,V,-1.11,263805.80,349546.00
1166.38,Co,VI,0.38,326664.90,412400.00
1166.42,Fe,V,-1.55,366564.40,280832.20
1166.46,Ni,V,-1.45,212253.40,297982.80
1166.48,Fe,V,-2.48,415576.50,329848.60
1166.52,Fe,V,-1.73,216652.10,302377.10
1166.52,Fe,V,-2.37,417092.10,331367.00
1166.54,Co,IV,-1.24,159638.10,245361.70
1166.67,Ni,V,-0.72,247281.80,332995.60
1166.69,Co,VI,-0.49,273324.80,359037.00
1166.98,Ti,V,-1.50,491558.70,577249.80
1167.02,Cr,IV,-0.70,266931.70,181243.10
1167.10,Ni,V,-0.75,208151.50,293833.80
1167.22,Cr,VI,-0.69,402888.60,488561.90
1167.23,Ni,VI,-0.20,375949.80,461622.60
1167.49,Cr,IV,-1.37,266931.70,181277.90
1167.62,Co,VI,-0.79,307482.70,393127.00
1167.69,Fe,VI,0.34,292313.00,377951.80
1167.73,Fe,V,-2.45,195196.30,280832.20
1167.74,Ni,V,-1.77,235420.60,321056.40
1167.75,Ni,VI,-0.14,296198.10,381832.80
1167.75,Ni,VI,0.17,337007.70,422642.40
1167.80,Co,VI,-0.39,306439.20,392070.70
1167.87,Co,V,-1.01,255484.10,341110.00
1167.93,Fe,VI,-0.82,292330.10,377951.80
