#list of all IG-element (stages II-V) transitions found in PG0909+276
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1163.82,Co,IV,-2.28,137336.40,223260.70
1163.85,Ni,V,-0.72,208164.60,294086.00
1163.92,Ni,III,-1.16,202108.46,116191.93
1163.97,Cr,IV,-2.33,251342.70,165430.00
1163.98,Co,IV,-2.09,160404.30,246316.40
1164.42,Co,IV,-2.38,159482.30,245361.70
1164.47,Ni,III,-1.73,97995.81,183872.00
1164.47,Ni,III,-2.07,199986.00,114110.20
1164.48,Ni,III,-1.85,97841.60,183717.00
1164.59,Co,IV,-2.26,137325.60,223192.40
1164.88,Cr,IV,0.01,263875.90,178030.00
1164.89,Ni,V,-1.71,263700.90,349546.00
1164.92,Cr,IV,-2.29,250752.70,164909.70
1165.01,Ni,V,-1.44,240193.80,326029.90
1165.32,Ni,V,-2.03,233839.20,319652.70
1165.36,Ni,V,-1.64,263735.70,349546.00
1165.49,Co,V,-1.06,255292.50,341093.00
1165.58,Ni,V,-0.98,241082.20,326876.30
1165.78,Ni,V,-0.93,240959.60,326739.00
1165.86,Ni,V,-0.95,234125.40,319899.10
1166.04,Co,IV,-2.03,137280.90,223041.10
1166.23,Ni,V,-1.55,212095.80,297842.50
1166.31,Ni,V,-1.11,263805.80,349546.00
1166.46,Ni,V,-1.45,212253.40,297982.80
1166.54,Co,IV,-1.24,159638.10,245361.70
1166.63,Ti,IV,-1.90,212407.34,298124.00
1166.67,Ni,V,-0.72,247281.80,332995.60
1166.68,Co,IV,-2.15,137280.90,222994.20
1166.83,Co,V,-1.70,268877.00,354579.00
1166.90,Co,V,-1.79,255292.50,340989.50
1166.95,Co,V,-1.62,268885.80,354579.00
1167.02,Cr,IV,-0.70,266931.70,181243.10
1167.10,Ni,V,-0.75,208151.50,293833.80
1167.36,Cr,IV,-1.79,251093.10,165430.00
1167.49,Cr,IV,-1.37,266931.70,181277.90
1167.87,Co,V,-1.01,255484.10,341110.00
1167.97,Ti,IV,-2.20,212407.34,298026.00
1168.06,Ni,IV,-2.21,171406.00,257018.00
1168.17,Cr,IV,-2.37,247099.10,161495.30
1168.22,Cr,IV,-1.04,266878.00,181277.90
1168.37,Ni,V,-1.78,212253.40,297842.50
1168.61,Sc,III,-0.83,148150.14,62578.18
1168.63,Ni,V,-0.61,234082.10,319652.70
1168.71,Cr,III,-1.00,43285.81,128850.49
1169.19,Cr,III,-1.85,43321.22,128850.49
1169.22,Ni,V,-1.18,212455.70,297982.80
1169.22,Ni,V,-2.02,234125.40,319652.70
1169.31,Fe,IV,-1.88,165493.10,251014.02
1169.52,Co,V,-0.92,255484.10,340989.50
1169.82,Cr,IV,-1.25,247239.30,161756.30
1169.84,Cr,IV,-2.04,247546.70,162064.90
1169.85,Cr,III,-1.91,43303.26,128784.13
1169.90,Ni,IV,-2.34,139619.20,225096.40
1169.97,Co,IV,-0.92,159851.50,245323.90
1170.10,Cr,III,-1.15,43321.22,128784.13
1170.26,Cr,III,-1.26,43303.26,128754.62
1170.27,Ni,V,-0.17,306962.90,392413.50
1170.50,Cr,III,-2.31,43321.22,128754.62
1170.54,Co,V,-1.73,238259.10,323690.10
1170.57,Co,V,-2.39,251701.50,337129.90
1170.78,Fe,IV,-1.46,165600.96,251014.02
1171.12,Ni,V,-0.71,307025.20,392413.50
1171.14,Ni,V,-0.94,212455.70,297842.50
1171.44,Ni,V,-1.12,240193.80,325558.60
1171.61,Fe,IV,-1.68,165804.47,251156.94
1171.68,Ni,V,-2.18,229408.80,314756.40
1171.71,Ni,V,-1.77,235736.50,321081.90
1171.71,Ni,V,-1.83,234275.20,319620.20
1171.74,Fe,V,-1.40,195196.30,280539.70
1171.74,Ni,V,-1.59,229413.00,314756.40
1171.94,Ti,IV,-0.71,321464.20,236135.29
1172.03,Ti,IV,-0.60,321464.20,236142.30
1172.06,Mn,V,-0.64,184635.60,269955.40
1172.08,Co,IV,-1.33,159482.30,244801.00
1172.09,Fe,V,-1.57,221305.20,306622.80
1172.12,Ni,V,-1.06,229440.60,314756.40
1172.34,Co,V,-1.07,238390.30,323690.10
1172.43,Fe,IV,-2.42,165720.94,251014.02
1172.47,Fe,IV,-1.90,165600.96,250891.05
1172.47,Ni,V,-0.77,221087.60,306377.80
1172.52,Ni,V,-1.36,274773.50,360059.70
1172.58,Cr,V,-2.34,316674.90,231392.90
1172.63,Fe,III,-2.26,50275.84,135554.15
1172.67,Sc,V,-1.42,435674.40,520949.70
1172.73,Mn,III,-2.05,48005.20,133276.40
1172.77,Ni,V,-2.21,208151.50,293420.00
1172.89,Fe,III,-2.17,50294.89,135554.15
1172.95,Ni,V,-1.52,241082.20,326337.10
1173.02,Ni,IV,-2.10,139886.70,225136.90
1173.09,Co,III,-1.98,57225.60,142470.40
1173.09,Cr,IV,-0.83,247546.70,162301.40
1173.17,Co,V,-0.40,268877.00,354116.40
1173.71,V_,IV,-0.22,236766.90,151567.30
1174.58,Ni,IV,-1.29,152343.70,237480.30
1176.68,Ni,III,-1.04,201176.75,116191.93
1176.77,Co,III,-1.71,57699.00,142677.70
1177.13,Cr,IV,-0.21,257588.60,172636.40
1177.33,Cr,IV,-0.38,268813.40,183875.60
1177.33,Ni,IV,-2.31,139886.70,224824.90
1177.33,Ni,IV,-2.41,146153.80,231091.80
1177.48,Mn,III,-1.36,29167.70,114094.97
1177.58,Co,IV,-1.91,160404.30,245323.90
1177.61,Ni,V,-1.56,212095.80,297013.90
1177.69,Co,V,-1.47,238164.60,323076.20
1177.71,Co,V,-1.45,238259.10,323169.40
1177.81,Ni,IV,-1.74,147635.90,232539.50
1177.87,Fe,V,-1.33,195933.00,280832.20
1177.92,V_,IV,-0.50,236322.40,151427.00
1178.01,Co,V,-1.66,238129.60,323018.60
1178.03,Mn,III,-2.21,29207.30,114094.97
1178.15,Co,IV,-2.13,144509.60,229388.20
1178.21,Ni,V,-1.07,216596.00,301470.20
1178.38,Ni,V,-1.25,232655.60,317517.50
1178.43,Co,V,-1.38,268877.00,353735.50
1178.50,Mn,III,-1.56,29241.40,114094.97
1178.56,Co,V,-0.37,268885.80,353735.50
1178.65,Ni,III,-2.04,202449.23,117606.35
1178.77,Ni,III,-1.85,202949.40,118114.95
1178.80,Ni,V,-1.18,242290.40,327122.70
1178.82,Ni,V,-2.29,232545.90,317376.80
1178.92,Ni,V,-0.04,212095.80,296919.30
1178.93,Ni,V,-1.33,232655.60,317477.90
1179.21,Co,IV,-1.84,140863.50,225666.30
1179.23,Ni,V,-2.33,212095.80,296897.00
1179.28,Cr,IV,-2.19,247099.10,162301.40
1179.47,Mn,III,-1.53,29207.30,113991.31
1179.56,Ni,V,-1.30,235736.50,320513.80
1179.59,Co,V,-0.27,236746.00,321521.40
1179.70,Co,V,-1.32,241174.10,325941.40
1179.80,Ni,V,-1.26,212253.40,297013.90
1179.85,Mn,III,-1.03,32307.30,117063.74
1179.87,V_,IV,-0.94,236322.40,151567.30
1179.93,Ni,V,-1.01,221087.60,305838.10
1179.94,Mn,III,-2.21,29241.40,113991.31
1180.05,Ni,V,-1.30,263735.70,348477.90
1180.11,Cr,IV,-0.82,268458.10,183720.30
1180.24,Ni,V,-1.01,216189.90,300918.10
1180.34,V_,IV,-0.90,236148.60,151427.00
1180.42,Ni,IV,-2.20,121807.70,206523.20
1180.60,Co,V,-1.17,241582.40,326285.10
1180.76,Co,V,-0.34,236431.20,321122.20
1180.83,Ni,V,-2.05,232545.90,317232.00
1180.85,Co,V,-1.25,241875.40,326560.00
1180.87,Co,V,-1.36,235961.10,320644.60
1180.94,Fe,IV,-1.84,165600.96,250279.06
1181.12,Cr,V,-2.05,319284.00,234618.40
1181.37,Co,IV,-1.67,159638.10,244285.60
1181.45,Co,III,-1.68,76520.30,161161.80
1181.70,Cr,III,-1.02,32150.53,116774.00
1181.94,Ni,V,-1.58,232910.80,317517.50
1182.05,Ni,V,-1.71,240959.60,325558.60
1182.28,Cr,IV,-1.44,268458.10,183875.60
1182.29,V_,IV,-2.04,236148.60,151567.30
1182.36,Ni,V,-1.54,232655.60,317232.00
1182.39,Co,V,-0.34,241985.30,326560.00
1182.41,Ni,V,-1.78,247104.90,331678.20
1182.49,Ni,V,-1.06,232910.80,317477.90
1182.54,Ni,V,-1.57,241773.60,326337.10
1182.62,Ni,V,-0.63,212455.70,297013.90
1182.81,Mn,III,-1.66,32307.30,116851.69
1182.83,Co,IV,-2.17,136519.10,221062.20
1182.88,Co,IV,-2.08,136519.10,221058.40
1183.19,Co,IV,-1.44,159482.30,243999.40
1183.31,Mn,III,-0.97,29167.70,113676.53
1183.37,Ni,IV,-2.35,140140.90,224645.70
1183.40,Cr,IV,-0.97,249932.50,165430.00
1183.40,Ni,III,-1.69,201176.75,116674.39
1183.45,Co,V,-0.81,244821.20,329319.80
1183.52,Ni,V,-1.95,242862.60,327356.60
1183.62,Co,V,-0.21,236158.00,320644.60
1183.63,Ti,IV,-0.46,212407.34,127921.36
1183.73,Ni,V,-2.40,235420.60,319899.10
1183.75,Co,IV,-2.12,141076.00,225553.40
1183.76,Ni,V,-1.02,241082.20,325558.60
1183.79,Fe,IV,-1.92,165720.94,250195.07
1183.86,Mn,III,-1.32,29207.30,113676.53
1183.88,Mn,III,-1.26,32383.70,116851.69
1183.89,Ni,V,-1.88,208163.70,292631.00
1183.90,Ni,V,-1.58,208164.60,292631.00
1183.91,Co,V,-0.59,241174.10,325639.80
1184.12,Co,IV,-1.62,136611.20,221062.20
1184.15,Ni,V,-1.54,242290.40,326739.00
1184.17,Co,IV,-1.58,136611.20,221058.40
1184.17,Fe,IV,-1.50,160311.64,244759.25
1184.19,Co,IV,-1.60,136612.50,221058.40
1184.20,Fe,IV,-2.17,165804.47,250249.39
1184.23,Co,V,-2.08,241985.30,326428.30
1184.31,Cr,V,-2.39,319284.00,234846.40
1184.60,Co,V,-0.23,235961.10,320378.10
1184.70,Co,V,-0.43,241875.40,326285.10
1184.71,Ni,V,-1.23,221429.00,305838.10
1185.23,Ni,V,-1.14,242504.30,326876.30
1185.27,Ni,V,-2.27,217101.00,301470.20
1185.41,Co,V,-0.49,241582.40,325941.40
1185.56,Cr,IV,-0.13,257714.40,173366.00
1185.93,Ni,V,-1.56,216596.00,300918.10
1185.95,Ni,V,-0.28,212253.40,296574.00
1186.12,Mn,III,-1.65,32383.70,116692.14
1186.13,Mn,III,-1.45,32384.70,116692.14
1186.20,Ni,IV,-2.33,140343.00,224645.70
1186.48,Co,V,-1.30,241985.30,326267.90
1186.58,Co,IV,-2.35,136611.20,220887.10
1186.60,Co,IV,-1.18,136612.50,220887.10
1186.62,Cr,V,-1.99,319119.10,234846.40
1186.84,Ni,III,-1.38,201508.40,117250.80
1186.91,Ni,V,-1.49,240959.60,325211.90
1187.20,Ni,V,-1.53,235420.60,319652.70
1187.33,Cr,III,-0.72,32150.53,116372.92
1187.33,Cr,IV,-1.16,257588.60,173366.00
1187.33,Ni,V,-1.39,208131.00,292353.40
1187.41,Ni,IV,-2.22,138446.20,222662.90
1187.49,Mn,III,-1.62,32368.90,116580.17
1187.62,Cr,III,-0.04,49767.47,133969.57
1187.65,Ni,V,-2.33,235420.60,319620.20
1187.67,Ni,V,-1.66,232545.90,316744.00
1187.71,Mn,III,-1.84,32384.70,116580.17
1187.79,Ni,V,-1.25,208163.70,292353.40
1187.79,Ni,V,-1.51,235736.50,319926.50
1188.04,Co,IV,-0.89,136362.90,220535.20
1188.16,V_,V,-0.92,416361.78,332198.10
1188.53,Mn,V,-1.72,177326.90,261464.40
1188.54,Ni,IV,-2.40,122386.10,206523.20
1188.75,Cr,IV,-0.58,256306.20,172184.00
1188.79,Ti,V,-0.52,487974.60,572093.90
1188.98,Ni,IV,-2.07,145192.10,229297.50
1189.54,Ni,V,-0.46,241082.20,325148.40
1189.56,Ni,V,-1.22,274695.40,358760.00
1189.62,Co,IV,-2.48,136362.90,220423.70
1189.63,Ni,V,-1.48,236454.10,320513.80
1189.67,Ni,V,-2.38,246240.90,330297.60
1189.68,Ni,V,-1.61,229408.80,313464.70
1189.75,Co,V,-2.26,235961.10,320012.10
1190.28,Ni,V,-1.26,242862.60,326876.30
1190.32,Ni,V,-0.33,216189.90,300201.00
1190.44,Mn,V,-1.01,178572.50,262574.90
1190.57,Co,IV,-1.83,137280.90,221274.10
1190.67,Ni,V,-1.45,274773.50,358760.00
1190.87,Co,IV,-2.24,144764.20,228736.20
1191.01,Co,IV,-1.22,137325.60,221287.70
1191.13,Co,V,-2.19,248098.90,332053.00
1191.16,Co,V,-0.82,244866.70,328818.40
1191.16,Co,V,-1.73,241174.10,325125.50
1191.17,Co,IV,-1.74,137336.40,221287.70
1191.19,Ti,V,-0.25,493300.50,577249.80
1191.21,Co,V,-1.36,261994.00,345942.10
1191.66,Ni,IV,-0.77,141220.30,225136.90
1191.69,Ni,IV,-2.04,148358.20,232272.70
1191.74,Mn,III,-1.04,29167.70,113078.34
1191.92,Ni,V,-0.99,241082.20,324980.20
1192.08,Ni,IV,-1.62,138446.20,222333.30
1192.16,Co,IV,-1.40,160404.30,244285.60
1192.23,Ni,IV,-1.12,141220.30,225096.40
1192.31,Mn,III,-1.87,29207.30,113078.34
