#list of all IG-element (stages II-V) transitions found in PG0909+276
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1328.54,Mn,IV,-1.92,112408.90,187679.50
1328.74,Ni,IV,-1.83,185967.00,261226.30
1328.85,Fe,IV,-1.11,167712.50,242965.62
1328.93,Co,IV,-2.04,144720.30,219969.00
1329.14,Co,V,-0.60,238390.30,313626.70
1329.27,Ni,IV,-1.21,185997.00,261226.30
1329.28,V_,IV,0.29,226796.30,151567.30
1329.31,Ni,V,-1.89,242290.40,317517.50
1329.36,Ni,V,0.47,217129.10,292353.40
1329.59,Co,IV,-1.58,153524.90,228736.20
1329.63,Co,III,-2.16,56373.80,131583.00
1329.70,Co,IV,-2.41,144764.20,219969.00
1329.70,Co,V,-0.67,238106.20,313311.00
1329.70,Cr,IV,0.14,232566.10,157361.40
1329.70,Ni,III,-2.05,188140.54,112935.43
1329.74,Ni,III,-2.22,82172.60,157375.42
1329.81,Co,V,0.14,249006.80,324205.80
1329.84,Ca,II,-1.22,13650.19,88847.31
1329.87,Fe,IV,-0.79,162087.81,237283.09
1329.89,Ni,IV,-2.01,111763.30,186957.20
1329.92,Cr,IV,-0.80,234085.20,158892.70
1329.96,V_,IV,-0.42,226617.10,151427.00
1330.00,Ni,IV,-2.13,140343.00,215531.00
1330.02,Co,V,0.38,238390.30,313577.10
1330.05,Ni,V,-0.69,232545.90,307731.10
1330.06,Co,IV,-1.86,144509.60,219694.20
1330.07,Cr,IV,-1.53,233117.30,157933.30
1330.09,Co,IV,-1.51,153265.30,228448.10
1330.12,Co,V,-1.17,238129.60,313311.00
1330.15,Ni,IV,-2.46,153338.80,228518.50
1330.16,Co,V,-0.35,276608.80,351787.70
1330.32,Fe,IV,-1.90,167795.92,242965.62
1330.35,Fe,III,-0.58,193611.37,118442.98
1330.35,Fe,III,-1.27,193610.92,118442.98
1330.36,Fe,III,-1.68,50275.84,125443.48
1330.40,Fe,V,0.44,217122.50,292287.60
1330.53,Co,V,-1.28,235199.90,310357.90
1330.58,Co,IV,-2.29,148105.50,223260.70
1330.64,Ni,IV,-1.24,140140.90,215292.90
1330.67,Cr,IV,-0.94,234502.10,159352.00
1330.74,Co,V,-0.20,238164.60,313311.00
1330.88,V_,IV,-0.94,222794.60,147656.50
1330.91,Ca,II,-1.06,13710.88,88847.31
1330.91,Ca,II,-2.36,13710.88,88847.31
1330.91,Cr,IV,-2.17,236491.40,161354.80
1330.92,Co,V,0.24,261994.00,337129.90
1331.00,Cr,III,-1.51,171517.75,96386.31
1331.02,Co,V,0.69,252331.90,327462.40
1331.07,Ni,IV,-1.39,151574.70,226702.50
1331.17,Ni,III,-0.82,81686.80,156808.70
1331.21,Cr,III,-2.29,43303.26,118422.99
1331.39,Ni,V,-0.89,240959.60,316068.80
1331.40,Ni,III,-2.19,86645.88,161754.89
1331.43,Ni,V,-0.90,216434.70,291541.70
1331.50,Co,V,0.61,236431.20,311534.50
1331.53,Cr,III,-1.38,43321.22,118422.99
1331.62,Cr,III,-1.53,171245.00,96148.35
1331.64,Fe,V,-0.06,220621.00,295716.40
1331.65,Co,V,0.19,244821.20,319915.70
1331.72,Cr,IV,-0.30,233618.40,158527.70
1331.80,Ni,V,-0.89,242290.40,317376.80
1331.84,Ni,V,-1.46,251654.90,326739.00
1331.93,Cr,IV,0.17,233708.50,158629.50
1331.99,Ni,V,-0.38,232655.60,307731.10
1332.10,Ni,IV,-1.62,147635.90,222705.50
1332.21,Cr,IV,-1.59,256306.20,181243.10
1332.25,Co,V,-0.80,241875.40,316936.20
1332.35,Cr,IV,-1.01,247239.30,172184.00
1332.41,Co,V,-0.61,238259.10,313311.00
1332.41,Cr,IV,0.96,234500.90,159449.20
1332.45,V_,IV,-0.19,226617.10,151567.30
1332.47,Co,V,-0.81,236431.20,311479.60
1332.64,Cr,IV,-0.74,250007.70,174968.60
1332.69,Co,V,0.13,241875.40,316911.60
1332.69,Mn,IV,-2.16,137930.10,212966.50
1332.74,Co,IV,-1.66,178439.40,253472.80
1332.78,Ni,V,-0.32,240959.60,315990.50
1332.83,Cr,IV,-1.30,256306.20,181277.90
1332.85,Ni,IV,-0.47,139289.40,214316.80
1332.87,Co,V,-1.14,249179.70,324205.80
1332.90,Ni,V,-0.58,225200.70,300224.90
1332.91,Ni,IV,-1.38,139886.70,214910.50
1332.98,Co,V,-0.03,238259.10,313278.70
1333.01,Ni,V,-0.33,225545.10,300563.30
1333.02,Cr,IV,0.02,233647.00,158629.50
1333.17,Co,V,-0.11,241875.40,316884.40
1333.18,Ni,IV,-0.60,179655.00,254663.40
1333.19,Cr,IV,-1.82,233637.60,158629.50
1333.21,Ni,V,-0.77,268273.90,343281.00
1333.33,Co,IV,-1.81,169800.90,244801.00
1333.33,Co,V,-0.63,276608.80,351609.10
1333.33,Ni,V,-0.09,225200.70,300201.00
1333.36,Co,V,-0.77,241582.40,316581.00
1333.40,Cr,IV,-0.32,236491.40,161495.30
1333.48,Co,V,-1.57,248698.20,323690.10
1333.50,Mn,IV,-1.77,112013.30,187004.00
1333.57,Ni,V,-0.60,241082.20,316068.80
1333.60,Ni,IV,-1.19,153533.60,228518.50
1333.66,Ni,III,-2.36,82172.60,157154.27
1333.72,Co,V,-0.22,238164.60,313142.70
1333.74,Co,V,-0.06,238106.20,313083.10
1333.90,Ni,IV,-1.83,139619.20,214587.40
1333.91,Co,IV,-1.88,150970.90,225938.70
1333.96,Ni,V,0.23,233839.20,308804.10
1333.99,Cr,IV,0.12,232896.60,157933.30
1334.07,Ni,V,-2.05,216596.00,291554.60
1334.08,Co,V,0.21,241174.10,316132.00
1334.08,Ni,III,-2.33,82277.26,157235.16
1334.16,Co,V,-1.65,238129.60,313083.10
1334.17,Ni,V,0.25,241773.60,316726.60
1334.18,Co,V,-1.88,277747.90,352700.20
1334.20,Ni,V,-0.83,216590.50,291541.70
1334.21,Co,V,-0.40,241985.30,316936.20
1334.22,Ni,IV,-1.65,144815.10,219765.00
1334.28,Ni,V,-0.68,225616.50,300563.30
1334.37,Cr,IV,-0.30,247765.00,172823.20
1334.78,Co,V,-1.47,238164.60,313083.10
1334.84,Cr,IV,-0.22,247099.10,172184.00
1334.91,Ni,III,-2.15,55952.21,130863.50
1334.93,Cr,IV,-1.65,247546.70,172636.40
1334.95,Cr,IV,-0.26,257588.60,182679.20
1334.97,Ni,V,0.24,241082.20,315990.50
1335.00,Cr,IV,-0.11,233798.90,158892.70
1335.03,Co,V,-0.23,242765.00,317669.70
1335.11,Ni,IV,-2.36,153313.80,228214.20
1335.12,Co,V,-0.57,205878.90,280778.70
1335.20,Ni,II,-0.18,1506.94,76402.03
1335.22,Cr,III,-1.45,171608.17,96714.04
1335.30,Co,V,0.09,243455.20,318344.60
1335.30,Fe,III,-0.81,193610.92,118721.44
1335.32,Co,IV,-2.04,148105.50,222994.20
1335.32,Co,V,-0.54,238390.30,313278.70
1335.39,Fe,III,-1.10,193605.99,118721.44
1335.41,Co,V,-0.96,238259.10,313142.70
1336.04,Fe,V,-1.44,208838.20,283686.30
1336.05,Co,V,-1.65,236158.00,311005.70
1336.07,Ni,IV,-1.79,112379.30,187225.70
1336.11,Fe,IV,-1.10,162074.42,236918.79
1336.12,Mn,IV,-0.66,138123.10,212966.50
1336.14,Ni,V,0.55,217048.70,291891.40
1336.20,Cr,IV,0.88,240268.80,165430.00
1336.26,Sc,IV,-1.02,384661.30,459496.90
1336.29,Co,V,0.31,248855.90,323690.10
1336.29,Sc,II,-2.14,10944.56,85778.78
1336.47,Co,V,-1.76,238259.10,313083.10
1336.48,Ni,III,-1.33,211843.60,137020.20
1336.54,Ni,V,-0.54,232910.80,307731.10
1336.57,Fe,IV,-1.15,167795.92,242614.60
1336.62,Ni,V,-0.42,246240.90,321056.40
1336.63,Co,V,-0.86,206108.50,280923.50
1336.68,Mn,IV,-2.15,137853.00,212665.30
1336.80,Ni,IV,-1.03,112151.90,186957.20
1336.91,Ni,III,-1.71,82172.60,156972.08
1336.91,Ni,V,-1.25,216590.50,291390.00
1336.96,Co,IV,-1.25,154012.20,228809.00
1336.96,Mn,IV,-1.08,112882.80,187679.50
1337.01,Ni,V,-0.40,216596.00,291390.00
1337.04,Ni,V,-0.05,235420.60,310212.60
1337.07,Co,V,-1.35,244821.20,319611.90
1337.10,Co,V,-1.99,236746.00,311534.50
1337.23,Ni,III,-1.50,209196.00,134414.77
1337.26,Co,V,-0.42,289449.20,364229.20
1337.29,Fe,V,-1.22,214611.40,289389.70
1337.29,Ni,III,-1.69,82193.80,156972.08
1337.35,Co,IV,-2.00,157513.10,232288.10
1337.68,Cr,IV,-0.24,235743.00,160986.50
1337.74,Ni,IV,-0.80,111763.30,186516.10
1337.75,Co,IV,-2.13,157513.10,232265.70
1337.88,Co,V,0.09,244866.70,319611.90
1337.88,Cr,IV,-1.46,233637.60,158892.70
1337.92,Co,IV,-0.90,148105.50,222848.10
1337.96,Ni,IV,-0.72,156351.20,231091.80
1337.97,Co,IV,-2.49,151040.60,225780.80
1338.04,Ni,IV,-1.31,139886.70,214622.80
1338.06,Mn,IV,-0.72,137930.10,212665.30
1338.08,Co,V,0.29,289495.10,364229.20
1338.09,Co,IV,-1.84,144720.30,219453.90
1338.09,Cr,IV,0.03,234085.20,159352.00
1338.10,Co,IV,-1.34,159851.50,234584.40
1338.16,Cr,IV,-1.38,233358.80,158629.50
1338.19,Ni,V,-1.23,242504.30,317232.00
1338.23,Co,V,-1.30,206476.00,281201.40
1338.59,Co,V,-0.84,241875.40,316581.00
1338.68,Ni,IV,-1.19,139886.70,214587.40
1338.73,Ni,IV,-1.84,139619.20,214316.80
1338.78,Ni,III,-1.73,208386.90,133692.00
1338.79,Ni,IV,-0.92,111195.80,185890.00
1338.81,Fe,V,-0.74,216538.10,291231.40
1338.94,Co,V,0.44,251582.20,326267.90
1338.97,Co,V,-1.32,236158.00,310842.10
1338.99,Co,V,-1.32,249006.80,323690.10
1339.04,Ni,III,-1.32,82172.60,156853.00
1339.05,Cr,III,-1.74,171066.33,96386.31
1339.05,Ni,V,-0.57,225545.10,300224.90
1339.08,Ni,IV,-0.56,111763.30,186441.40
1339.12,Co,V,-0.97,244821.20,319497.20
1339.17,Cr,IV,0.79,239582.80,164909.70
1339.19,Co,IV,-1.92,90554.40,165226.20
1339.22,Co,V,-0.31,206108.50,280778.70
1339.33,Co,V,0.35,268877.00,343541.40
1339.34,V_,IV,-0.85,223033.00,148369.20
1339.35,Co,V,-0.26,238129.60,312792.90
1339.48,Ni,III,-1.73,209070.65,134414.77
1339.54,Mn,V,-1.53,195302.70,269955.40
1339.57,Cr,IV,0.16,234100.10,159449.20
1339.61,Co,III,-2.26,173194.90,98546.30
1339.67,Ni,IV,0.40,179655.00,254300.00
1339.69,Fe,V,-0.06,234027.40,308671.50
1339.76,Co,V,0.13,276608.80,351248.80
1339.79,Cr,IV,0.14,234502.10,159863.60
1339.89,Cr,IV,-0.89,232566.10,157933.30
1339.93,Co,V,-0.02,244866.70,319497.20
1340.05,Co,IV,-2.23,144764.20,219388.20
1340.19,Cr,IV,-1.43,252532.80,177916.50
1340.21,Ni,III,-1.89,82193.80,156808.70
1340.33,Ni,V,-0.20,225616.50,300224.90
1340.35,Cr,IV,0.14,233236.70,158629.50
1340.42,Co,V,0.14,244485.40,319088.90
1340.43,Cr,IV,0.06,247239.30,172636.40
1340.53,Ni,V,-1.47,242290.40,316887.80
1340.56,Co,V,0.15,241985.30,316581.00
1340.57,Mn,IV,-1.23,112408.90,187004.00
1340.59,Cr,IV,-0.49,255836.90,181243.10
1340.67,Cr,IV,-0.59,233117.30,158527.70
1340.76,Ni,V,-1.64,225616.50,300201.00
1340.89,Ni,IV,-1.70,140140.90,214718.10
1341.07,Ni,V,-0.13,216189.90,290757.00
1341.16,Fe,IV,-2.26,154474.85,229037.02
1341.22,Cr,IV,-1.20,255836.90,181277.90
1341.24,Ni,III,-2.36,187493.38,112935.43
1341.29,Ni,III,-2.43,56308.24,130863.50
1341.39,Co,V,-0.80,241582.40,316132.00
1341.41,Cr,IV,-0.33,252464.80,177916.50
1341.42,Ni,III,-1.50,55406.29,129954.00
1341.45,Cr,III,-1.61,171644.58,97098.28
1341.45,Mn,IV,-0.79,137853.00,212399.30
1341.55,Ni,IV,-0.72,179583.00,254123.70
1341.67,Co,V,-1.21,238259.10,312792.90
1341.71,Ni,V,-0.80,235420.60,309952.50
1341.82,Cr,IV,-1.17,255803.60,181277.90
1341.90,Ni,IV,-2.41,159498.50,234019.50
1342.00,Ni,IV,-1.94,141220.30,215736.10
1342.14,Ni,IV,-0.52,179792.00,254300.00
1342.16,Ni,III,-1.17,55406.29,129913.10
1342.18,Ni,V,0.35,217048.70,291554.60
1342.21,Ni,IV,-2.28,141220.30,215724.50
1342.23,Cr,IV,-0.26,252532.80,178030.00
1342.44,Co,V,0.53,236158.00,310649.40
1342.47,Fe,III,-1.22,57221.01,131710.49
1342.58,Co,V,-2.04,241174.10,315657.50
1342.61,Ni,IV,-1.73,140140.90,214622.80
1342.89,Cr,IV,-1.21,233358.80,158892.70
1342.92,Ni,V,-0.15,242862.60,317327.30
1343.11,Fe,V,-1.72,186725.50,261179.60
1343.11,Fe,V,-2.01,358207.90,283754.00
1343.14,Fe,V,-1.32,216779.10,291231.40
1343.14,Ni,III,-0.96,211843.60,137391.30
1343.23,Co,V,-0.25,206476.00,280923.50
1343.25,Ni,IV,-1.45,140140.90,214587.40
1343.44,Co,IV,-2.21,154012.20,228448.10
1343.45,Ni,III,-2.19,188140.54,113705.12
1343.47,Co,V,0.20,251701.50,326135.60
1343.47,Ni,III,-2.13,184805.62,110371.35
1343.60,Co,V,-1.06,277360.70,351787.70
1343.63,Ni,V,-0.69,217129.10,291554.60
1343.71,Co,V,-0.70,242340.30,316761.00
1343.71,Co,V,-1.22,261994.00,336414.80
1343.74,Cr,IV,-1.14,255662.30,181243.10
1343.79,Ni,III,-1.87,187351.88,112935.43
1343.89,Co,V,-1.04,277376.80,351787.70
1343.89,Co,V,-1.44,236431.20,310842.10
1343.90,Ni,V,0.07,240959.60,315370.10
1343.99,Ni,V,-1.52,240193.80,314599.20
1344.00,Cr,IV,-0.09,251095.60,176690.90
1344.09,Ni,IV,0.02,179724.00,254123.70
1344.20,Ni,IV,-1.02,147635.90,222029.30
1344.29,Ni,IV,-0.59,185967.00,260355.50
1344.30,Cr,IV,-1.71,235743.00,161354.80
1344.37,Cr,IV,-0.71,255662.30,181277.90
1344.38,Ni,V,-1.19,242504.30,316887.80
1344.39,Co,III,-1.66,77624.00,152007.20
1344.42,Ni,III,-1.24,209404.95,135023.20
1344.50,V_,IV,-1.05,225804.10,151427.00
1344.69,Ni,V,-1.23,240959.60,315326.20
1344.79,Ni,IV,-2.34,145192.10,219553.40
1344.84,Ni,IV,-1.41,185997.00,260355.50
1344.87,Cr,IV,-0.88,233708.50,159352.00
1344.90,Ni,IV,-1.77,147635.90,221991.00
1345.00,Ni,V,-0.73,279199.50,353548.70
1345.22,Co,V,0.10,262077.30,336414.80
1345.27,Co,V,-0.37,241582.40,315916.70
1345.40,Ni,V,-0.22,251654.90,325982.20
1345.42,Cr,IV,-0.18,251017.30,176690.90
1345.58,Ni,IV,-1.74,139289.40,213606.90
1345.59,Ni,V,-1.12,234275.20,308592.00
1345.60,Fe,V,0.05,233848.90,308165.00
1345.65,Co,V,0.17,248855.90,323169.40
1345.68,Co,V,0.56,207548.50,281860.60
1345.72,Ni,IV,-0.16,111195.80,185505.30
1345.85,Co,V,-0.34,206476.00,280778.70
1345.99,Cr,III,-1.37,171978.87,97683.99
1346.00,Mn,IV,-2.20,119445.50,193739.60
1346.09,Ni,IV,-0.35,112151.90,186441.40
1346.11,Ni,V,-1.78,241082.20,315370.10
1346.16,Cr,IV,-2.30,233637.60,159352.00
1346.28,Co,V,-1.05,277330.20,351609.10
1346.33,Cr,IV,-1.03,247099.10,172823.20
1346.37,Fe,III,-1.59,70694.17,144968.17
1346.48,Co,V,-0.80,244821.20,319088.90
1346.48,Co,V,0.17,289449.20,363716.70
1346.54,Co,IV,-2.31,132729.10,206993.60
1346.63,Cr,IV,-1.34,233708.50,159449.20
1346.77,Ni,III,-1.64,188622.87,114371.01
1346.82,Co,IV,-1.51,90554.40,164803.20
1346.86,Mn,IV,-1.86,119961.50,194208.20
1347.00,Co,V,-0.38,206962.20,281201.40
1347.01,Ni,III,-2.05,82172.60,156411.20
1347.04,V_,IV,-1.28,225804.10,151567.30
1347.05,Cr,IV,-0.75,234100.10,159863.60
1347.06,Ni,IV,-2.08,153313.80,227549.40
1347.06,V_,II,-1.48,16421.53,90657.34
1347.12,Co,V,-1.01,277376.80,351609.10
1347.21,Ni,V,-0.74,217101.00,291328.50
1347.26,Cr,IV,-1.74,233117.30,158892.70
1347.30,Ni,V,-0.66,242504.30,316726.60
1347.32,Co,V,0.14,289495.10,363716.70
1347.33,Cr,IV,0.28,251137.80,176916.70
1347.45,Co,V,-0.11,243455.20,317669.70
1347.45,Ni,IV,-1.05,139886.70,214101.00
1347.49,Cr,III,-2.43,174312.64,100100.66
1347.51,Cr,III,-1.13,171517.75,97306.59
1347.51,Ni,III,-1.51,187351.88,113140.92
1347.52,Ni,IV,-1.99,153338.80,227549.40
1347.55,Ni,V,-1.80,240959.60,315168.20
1347.59,Co,IV,-2.13,152161.10,226367.60
1347.68,Ni,III,-2.31,83033.45,157235.16
1347.69,Ni,IV,-1.10,159818.40,234019.50
1347.72,Ni,V,0.21,217129.10,291328.50
1347.74,Co,IV,-2.16,169800.90,243999.40
1347.75,Cr,IV,0.25,233647.00,159449.20
1347.82,Ni,IV,-2.06,145702.20,219896.00
1347.85,Co,IV,-2.04,158423.40,232615.60
1347.89,Cr,IV,-0.09,236491.40,162301.40
1348.00,Ni,IV,-0.73,151574.70,225758.50
1348.06,Cr,IV,0.14,247546.70,173366.00
1348.09,Cr,IV,-0.84,251095.60,176916.70
1348.09,Ni,V,-1.12,234412.70,308592.00
1348.18,Cr,IV,0.89,256853.20,182679.20
1348.23,Co,V,-0.49,242765.00,316936.20
1348.29,Cr,III,-1.35,171245.00,97077.12
1348.32,Ni,V,-1.55,216590.50,290757.00
1348.39,Co,V,-0.78,249006.80,323169.40
1348.57,Cr,IV,-0.98,239582.80,165430.00
1348.60,Co,III,-2.14,173194.90,99044.00
1348.66,Ni,V,-1.03,279199.50,353347.10
1348.67,Ni,III,-0.65,184518.20,110371.35
1348.67,Ni,IV,-2.19,141577.20,215724.50
1348.67,Ni,V,-2.16,243370.50,317517.50
1348.68,Co,V,-1.06,242765.00,316911.60
1348.84,Fe,V,-0.76,234027.40,308165.00
1348.99,Co,V,-1.93,238106.20,312235.60
1349.15,Ni,III,-1.65,83033.45,157154.27
1349.15,Ni,IV,-0.85,139619.20,213739.70
1349.28,Co,IV,-2.07,136611.20,210724.90
1349.31,Co,IV,-2.04,144764.20,218876.30
1349.34,Ni,V,-0.63,243266.20,317376.80
1349.42,Co,V,-0.33,238129.60,312235.60
1349.47,Co,IV,-2.16,152264.20,226367.60
1349.52,Cr,IV,-0.15,251017.30,176916.70
1349.59,Co,V,-0.05,252331.90,326428.30
1349.60,Co,V,0.17,236746.00,310842.10
1349.78,Ni,V,-1.42,241082.20,315168.20
1350.04,Ni,V,-0.27,216189.90,290262.00
1350.06,Co,V,-0.77,238164.60,312235.60
1350.07,Co,V,-0.68,235961.10,310031.10
1350.09,Co,V,-0.12,249006.80,323076.20
1350.21,Ni,IV,-0.87,145702.20,219765.00
1350.22,Ni,IV,-0.33,112379.30,186441.40
1350.32,Co,V,-0.48,277192.40,351248.80
1350.52,Ni,IV,-0.66,144815.10,218860.60
1350.53,Ni,V,-1.26,243331.50,317376.80
1350.54,Fe,V,-0.33,212818.10,286862.70
1350.56,Co,V,0.52,252385.00,326428.30
1350.65,Cr,IV,0.26,232566.10,158527.70
1350.67,Fe,V,-1.26,212818.10,286855.30
1350.76,Co,V,-2.08,235961.10,309993.70
1350.80,Ni,III,-1.53,188140.54,114110.20
1350.89,Ni,V,-1.01,242862.60,316887.80
1351.06,Ni,IV,-1.39,153533.60,227549.40
1351.08,Ni,V,-1.26,240193.80,314208.80
1351.22,Ni,V,-1.50,247049.10,321056.40
1351.24,Ni,V,-1.09,243370.50,317376.80
1351.25,Ni,III,-1.43,55952.21,129957.95
1351.26,Co,V,-0.44,236353.10,310357.90
1351.28,Cr,IV,0.45,232896.60,158892.70
1351.31,Co,V,-1.23,251582.20,325584.50
1351.32,Ni,III,-2.47,55952.21,129954.00
1351.41,Ni,V,0.10,217101.00,291097.70
1351.42,Ni,IV,0.01,179583.00,253579.30
1351.54,Co,V,-1.61,249179.70,323169.40
1351.58,Ni,IV,-0.78,139619.20,213606.90
1351.59,Cr,IV,-0.54,235743.00,161756.30
1351.64,Ni,IV,-0.15,179655.00,253639.10
1351.74,Co,III,-2.31,172802.70,98823.90
1351.76,Fe,V,-1.26,186433.60,260411.40
1351.77,Ni,V,-1.32,247104.90,321081.90
1351.81,Ni,III,-2.19,184346.50,110371.35
1351.90,Ni,IV,-2.05,141561.20,215531.00
1352.06,Co,V,0.05,206962.20,280923.50
1352.07,Ni,III,-1.50,55952.21,129913.10
1352.08,Ni,IV,-2.08,140140.90,214101.00
1352.20,Ni,III,-1.32,184166.57,110212.80
1352.52,Co,V,-0.62,252331.90,326267.90
1352.52,Cr,IV,0.54,251342.70,177406.50
1352.60,Fe,V,-0.24,216652.10,290583.70
1352.61,Co,V,-1.69,241985.30,315916.70
1352.66,Co,IV,-1.83,158359.90,232288.10
1352.69,Sc,IV,-1.16,385570.00,459496.90
1352.74,Cr,III,-0.67,171608.17,97683.99
1352.76,Co,V,0.00,276608.80,350532.00
1352.83,Co,IV,-1.90,132729.10,206648.30
1352.90,Ni,IV,-0.67,179724.00,253639.10
1352.97,Fe,IV,-1.90,160015.88,233927.12
1353.07,Co,IV,-0.18,158359.90,232265.70
1353.10,Co,IV,-1.50,144509.60,218414.00
1353.11,Ni,V,0.06,251654.90,325558.60
1353.12,Co,V,-1.21,236746.00,310649.40
1353.24,Co,V,-0.62,249179.70,323076.20
1353.32,Ni,IV,-2.44,141832.00,215724.50
1353.40,Co,V,-0.20,277360.70,351248.80
1353.46,Cr,IV,0.59,233236.70,159352.00
1353.49,Co,V,0.39,251701.50,325584.50
1353.67,Co,V,-1.88,236158.00,310031.10
1353.67,Cr,IV,-1.31,247239.30,173366.00
1353.69,Co,V,-1.95,277376.80,351248.80
1353.74,Fe,V,-0.19,216538.10,290407.70
1353.78,Fe,V,-0.69,366154.70,292287.60
1353.78,Ni,IV,-2.36,153313.80,227181.10
1353.83,Co,IV,-0.09,158423.40,232288.10
1353.84,Ni,V,-0.38,242862.60,316726.60
1353.89,Co,V,-1.11,277747.90,351609.10
1354.00,Ni,IV,-2.25,179724.00,253579.30
1354.04,Ni,V,-1.36,247165.00,321018.30
1354.15,Ni,IV,-0.08,179792.00,253639.10
1354.17,Ni,III,-0.56,185067.15,111221.20
1354.17,Ni,V,-1.51,239107.70,312953.60
1354.30,Co,V,-0.47,249179.70,323018.60
1354.31,Co,V,-0.94,242340.30,316178.90
1354.36,Co,V,-0.49,236158.00,309993.70
1354.36,Ni,IV,-2.31,138446.20,212281.80
1354.37,Co,IV,-2.25,129223.70,203059.00
1354.38,Ni,IV,-1.40,146061.50,219896.00
1354.43,Ni,IV,-1.82,153349.40,227181.10
1354.43,Ni,V,-1.19,232545.90,306377.80
1354.45,Co,III,-2.00,172377.00,98546.30
1354.53,Ni,V,-1.28,235116.50,308943.00
1354.56,Ni,III,-1.78,184037.62,110212.80
1354.72,Co,V,-1.06,242765.00,316581.00
1354.72,Cr,III,-1.99,43285.81,117101.58
1354.78,Co,IV,-1.72,152126.20,225938.70
1354.80,Co,IV,-1.58,144509.60,218321.20
1354.85,Fe,V,0.30,237729.60,311538.70
1354.90,Co,V,-0.35,238106.20,311912.50
1354.97,Ni,IV,-1.32,145962.50,219765.00
1355.13,V_,IV,0.80,227712.50,153918.70
1355.21,Ni,IV,-1.36,139619.20,213408.60
1355.27,Co,V,0.36,206962.20,280748.20
1355.32,Cr,IV,0.70,233647.00,159863.60
1355.38,Cr,IV,-1.42,234085.20,160305.40
1355.42,Co,IV,-2.08,152161.10,225938.70
1355.42,Mn,IV,-1.35,119961.50,193739.60
1355.45,Co,V,-1.17,249300.00,323076.20
1355.45,Ni,V,-1.90,242504.30,316280.30
1355.48,Ni,V,-0.42,247281.80,321056.40
1355.49,Cr,IV,-1.11,233637.60,159863.60
1355.54,Ni,V,-0.14,225200.70,298972.30
1355.55,Fe,IV,-1.73,160015.88,233786.72
1355.57,Ni,III,-2.14,188140.54,114371.01
1355.59,Co,IV,0.03,158846.70,232615.60
1355.63,Fe,V,-0.86,208838.20,282604.80
1355.65,Cr,IV,-1.81,233117.30,159352.00
1355.66,Co,IV,-1.29,129134.00,202898.80
1355.71,Co,V,-0.28,276608.80,350370.60
1355.75,Co,III,-1.91,172583.60,98823.90
1355.75,Cr,III,-1.32,171066.33,97306.59
1356.06,Fe,III,-2.05,63466.67,137209.57
1356.06,Ni,IV,-1.01,179583.00,253326.20
1356.08,Ni,IV,-0.23,111763.30,185505.30
1356.28,Cr,IV,-0.24,251137.80,177406.50
1356.48,Ni,IV,-1.39,139886.70,213606.90
1356.51,Co,V,-0.75,249300.00,323018.60
1356.53,V_,IV,-0.38,217990.70,144273.10
1356.56,Ni,IV,-1.07,141577.20,215292.90
1356.62,Ni,IV,-1.75,140343.00,214055.80
1356.79,Co,IV,-2.35,129195.20,202898.80
1356.79,Ni,IV,-1.49,146061.50,219765.00
1356.82,Ni,IV,-1.24,146194.30,219896.00
1357.06,Co,IV,-1.82,129195.20,202883.70
1357.06,Ni,IV,0.13,110410.60,184099.10
1357.11,Fe,V,-1.23,186725.50,260411.40
1357.13,Ni,IV,-1.25,141832.00,215516.80
1357.16,Cr,III,-0.88,43285.81,116969.09
1357.24,Fe,IV,-1.04,165392.58,239071.40
1357.31,Co,IV,-2.23,129223.70,202898.80
1357.34,Cr,IV,-0.74,232566.10,158892.70
1357.37,Ni,III,-1.78,186073.40,112401.65
1357.38,Ni,IV,-1.69,148358.20,222029.30
1357.39,Ni,V,-1.07,239107.70,312778.20
1357.43,Ni,III,-2.23,82172.60,155841.40
1357.48,Ni,V,-0.76,216596.00,290262.00
1357.50,Co,V,0.42,235961.10,309625.80
1357.59,Co,IV,-2.30,129223.70,202883.70
1357.62,Ni,V,-1.42,246240.90,319899.10
1357.68,Co,IV,-1.92,129228.70,202883.70
1357.68,Fe,V,0.20,233633.60,307288.70
1357.72,Co,V,0.30,207548.50,281201.40
1357.78,Ni,III,-1.70,56308.24,129957.95
1357.82,Ni,III,-0.92,82193.80,155841.40
1357.83,Ni,III,-1.46,187351.88,113705.12
1357.83,Ni,III,-1.98,183859.72,110212.80
1357.94,Fe,IV,-2.17,128967.67,202608.33
1357.96,Co,IV,-2.10,150970.90,224611.00
1358.16,Ni,III,-1.12,185543.70,111914.53
1358.20,Co,IV,-1.79,129222.20,202849.10
1358.33,Ni,V,-1.12,241082.20,314702.20
1358.34,Ni,V,-0.76,246240.90,319860.40
1358.35,Cr,IV,-0.81,250535.20,176916.70
1358.45,Cr,III,-1.41,170690.54,97077.12
1358.50,Cr,IV,-1.32,251017.30,177406.50
1358.57,Fe,V,-0.50,215782.60,289389.70
1358.60,Mn,IV,-1.12,120603.10,194208.20
1358.61,Ni,III,-2.47,56308.24,129913.10
1358.65,Ni,IV,-0.56,179724.00,253326.20
1358.70,Co,V,-0.31,236431.20,310031.10
1358.97,Fe,V,-0.95,208838.20,282423.50
1358.98,Ni,III,-2.17,82826.40,156411.20
